T,K,Spread,Weight,Type,Market,Model,Err,IV_Mkt,IV_Model
0.057,130.0,0.020000000000000018,0.020000000000000018,PUT,0.27,0.17,-0.1,0.7608,0.7052
0.057,140.0,0.009999999999999953,0.01,PUT,0.46,0.28,-0.19,0.6859,0.6251
0.057,150.0,0.020000000000000018,0.020000000000000018,PUT,0.87,0.58,-0.29,0.6242,0.5693
0.057,160.0,0.030000000000000027,0.030000000000000027,PUT,1.73,1.35,-0.38,0.5773,0.5342
0.057,175.0,0.10000000000000053,0.10000000000000053,PUT,4.85,4.38,-0.47,0.5309,0.5002
0.057,190.0,0.04999999999999982,0.04999999999999982,CALL,6.22,6.35,0.12,0.4698,0.4768
0.057,200.0,0.04999999999999982,0.04999999999999982,CALL,3.02,3.08,0.06,0.4598,0.4639
0.057,215.0,0.019999999999999907,0.019999999999999907,CALL,0.82,0.8,-0.02,0.4515,0.4489
0.057,225.0,0.020000000000000018,0.020000000000000018,CALL,0.36,0.28,-0.08,0.4639,0.4441
0.057,235.0,0.009999999999999981,0.01,CALL,0.17,0.1,-0.08,0.4844,0.4462
0.076,135.0,0.010000000000000009,0.010000000000000009,PUT,0.47,0.34,-0.14,0.6612,0.6218
0.076,145.0,0.020000000000000018,0.020000000000000018,PUT,0.86,0.66,-0.2,0.6073,0.5732
0.076,155.0,0.030000000000000027,0.030000000000000027,PUT,1.65,1.39,-0.26,0.5664,0.5389
0.076,170.0,0.04999999999999982,0.04999999999999982,PUT,4.28,3.97,-0.31,0.5225,0.5033
0.076,180.0,0.09999999999999964,0.09999999999999964,PUT,7.55,7.26,-0.29,0.5007,0.4859
0.076,195.0,0.09999999999999964,0.09999999999999964,CALL,5.45,5.67,0.22,0.4539,0.4656
0.076,210.0,0.009999999999999787,0.01,CALL,1.88,2.0,0.13,0.4385,0.4486
0.076,220.0,0.010000000000000009,0.010000000000000009,CALL,0.88,0.88,0.01,0.4396,0.4407
0.076,230.0,0.020000000000000018,0.020000000000000018,CALL,0.42,0.36,-0.06,0.4484,0.436
0.076,240.0,0.010000000000000009,0.010000000000000009,CALL,0.21,0.14,-0.07,0.4627,0.4359
0.095,140.0,0.019999999999999907,0.019999999999999907,PUT,0.82,0.71,-0.11,0.5991,0.5813
0.095,150.0,0.030000000000000027,0.030000000000000027,PUT,1.5,1.38,-0.11,0.5589,0.5468
0.095,160.0,0.03999999999999959,0.03999999999999959,PUT,2.74,2.66,-0.08,0.5272,0.5212
