T,K,Market,Ana_Price,Ana_Err,MC_Price,MC_Err,IV_Mkt
0.041,5400.0,1553.44,1576.3,22.87,1576.84,23.41,0.4658
0.041,6225.0,732.4,731.33,-1.07,731.8,-0.6,0.2771
0.041,6650.0,321.6,315.48,-6.12,317.83,-3.77,0.1941
0.041,6820.0,173.91,174.59,0.68,178.09,4.18,0.1636
0.041,6925.0,95.72,100.17,4.46,104.61,8.9,0.1424
0.041,7050.0,27.65,33.85,6.2,36.72,9.07,0.1136
0.044,5375.0,1578.77,1603.27,24.5,1603.64,24.87,0.4638
0.044,5590.0,1364.42,1379.25,14.82,1378.74,14.31,0.4148
0.044,5760.0,1195.03,1207.11,12.08,1207.71,12.68,0.3755
0.044,5925.0,1030.99,1036.14,5.15,1035.75,4.76,0.3432
0.044,6090.0,867.14,872.68,5.54,873.21,6.07,0.3067
0.044,6205.0,753.0,752.72,-0.28,753.41,0.41,0.2783
0.044,6305.0,654.31,652.21,-2.1,652.32,-1.99,0.2569
0.044,6405.0,556.33,556.32,-0.0,556.96,0.64,0.2369
0.044,6510.0,454.65,453.54,-1.11,455.59,0.95,0.2166
0.044,6610.0,361.36,355.02,-6.34,357.6,-3.76,0.2036
0.044,6710.0,269.27,264.51,-4.76,267.14,-2.14,0.182
0.044,6810.0,185.39,184.68,-0.7,188.18,2.79,0.1667
0.044,6910.0,107.35,113.2,5.85,117.71,10.36,0.1429
0.044,7010.0,47.3,54.17,6.87,57.99,10.69,0.1223
0.044,7110.0,12.9,17.27,4.37,18.81,5.91,0.1051
0.044,7215.0,2.0,3.81,1.81,3.59,1.59,0.0967
0.052,5500.0,1455.36,1471.77,16.41,1472.01,16.65,0.4127
0.052,6250.0,710.84,708.97,-1.86,709.72,-1.11,0.2577
0.052,6680.0,301.12,296.76,-4.36,299.91,-1.2,0.1824
0.052,6850.0,158.6,163.01,4.42,167.3,8.7,0.153
0.052,7020.0,48.4,57.41,9.01,61.41,13.01,0.1193
0.052,7300.0,0.88,3.23,2.36,2.95,2.07,0.0978
