T,K,Market,Ana_Price,Ana_Err,MC_Price,MC_Err,IV_Mkt
0.041,5400.0,1553.98,1576.89,22.91,1577.45,23.48,0.4659
0.041,6225.0,732.94,732.44,-0.5,731.53,-1.4,0.2773
0.041,6650.0,322.09,316.08,-6.01,318.69,-3.4,0.1942
0.041,6820.0,173.9,174.38,0.49,180.45,6.55,0.1627
0.041,6925.0,95.86,101.42,5.56,104.33,8.47,0.1421
0.041,7050.0,27.8,36.4,8.6,33.35,5.55,0.1136
0.044,5325.0,1629.18,1654.7,25.52,1656.41,27.23,0.4757
0.044,5580.0,1374.97,1389.58,14.61,1389.29,14.32,0.4191
0.044,5750.0,1205.67,1218.23,12.56,1218.9,13.22,0.3828
0.044,5920.0,1036.4,1041.77,5.36,1041.05,4.65,0.3421
0.044,6080.0,877.61,882.97,5.36,884.97,7.36,0.3093
0.044,6200.0,758.73,759.02,0.29,758.42,-0.32,0.2826
0.044,6300.0,659.8,657.58,-2.22,658.02,-1.77,0.2584
0.044,6405.0,556.82,555.81,-1.01,559.67,2.85,0.2367
0.044,6505.0,460.08,458.48,-1.6,462.52,2.44,0.2182
0.044,6605.0,366.44,360.52,-5.92,363.14,-3.3,0.2043
0.044,6705.0,273.96,268.96,-4.99,272.97,-0.99,0.1823
0.044,6805.0,188.17,188.19,0.02,194.38,6.21,0.164
0.044,6905.0,111.33,117.44,6.11,121.41,10.08,0.1442
0.044,7005.0,52.2,59.17,6.97,57.65,5.45,0.1272
0.044,7110.0,12.95,19.47,6.52,15.65,2.7,0.1049
0.044,7210.0,2.62,4.36,1.73,3.4,0.78,0.1
0.044,7340.0,0.45,2.67,2.22,4.49,4.04,0.1074
0.052,6200.0,760.58,761.47,0.89,761.38,0.8,0.2671
0.052,6670.0,310.49,306.19,-4.3,309.84,-0.65,0.184
0.052,6830.0,174.4,177.17,2.77,183.67,9.27,0.1563
0.052,7010.0,53.45,65.29,11.84,63.11,9.66,0.1211
0.052,7275.0,1.2,2.73,1.53,3.83,2.63,0.0961
0.055,6225.0,737.01,736.5,-0.51,736.38,-0.63,0.2618
0.055,6675.0,308.53,303.87,-4.66,307.74,-0.79,0.184
0.055,6840.0,169.97,172.52,2.55,178.97,9.01,0.156
0.055,7010.0,56.75,68.01,11.26,65.7,8.95,0.123
0.055,7275.0,1.52,2.9,1.38,3.96,2.44,0.0971
0.057,6225.0,738.05,737.37,-0.68,737.45,-0.59,0.2608
0.057,6710.0,280.33,275.58,-4.75,280.29,-0.04,0.1791
0.057,6875.0,146.54,151.02,4.48,156.61,10.07,0.1505
0.057,7050.0,41.2,51.64,10.44,47.33,6.13,0.1175
0.06,5700.0,1258.6,1271.26,12.65,1273.56,14.96,0.3642
0.06,6450.0,521.68,518.12,-3.56,524.73,3.05,0.2235
0.06,6800.0,209.27,206.16,-3.11,212.84,3.57,0.1677
0.06,6970.0,87.2,94.88,7.68,94.93,7.73,0.1361
0.06,7225.0,5.4,6.65,1.25,5.4,0.0,0.1029
0.063,5325.0,1632.11,1655.71,23.6,1657.71,25.6,0.4354
0.063,5490.0,1467.92,1485.79,17.87,1484.08,16.16,0.4024
0.063,5660.0,1298.97,1311.2,12.24,1313.3,14.34,0.3698
0.063,5825.0,1135.13,1143.67,8.55,1142.74,7.61,0.3365
0.063,6000.0,961.94,964.41,2.48,966.79,4.86,0.3036
0.063,6145.0,819.03,820.95,1.92,823.16,4.13,0.2764
0.063,6245.0,721.11,718.65,-2.46,719.18,-1.93,0.2585
0.063,6345.0,624.04,618.66,-5.38,622.23,-1.82,0.2414
0.063,6445.0,528.23,523.85,-4.38,530.74,2.51,0.2248
0.063,6545.0,434.46,430.32,-4.14,436.06,1.6,0.209
0.063,6650.0,339.06,332.75,-6.31,336.77,-2.29,0.1923
0.063,6750.0,252.69,247.0,-5.69,252.82,0.12,0.1761
0.063,6850.0,173.08,172.8,-0.28,179.21,6.13,0.1595
0.063,6950.0,103.9,109.03,5.13,110.44,6.54,0.1427
0.063,7050.0,50.0,56.41,6.41,51.75,1.75,0.1257
0.063,7150.0,17.35,20.78,3.43,15.95,-1.4,0.1112
0.063,7250.0,4.55,5.06,0.51,4.88,0.33,0.1036
0.063,7390.0,0.85,3.03,2.18,4.85,4.0,0.1071
0.071,6225.0,742.66,741.91,-0.75,743.17,0.51,0.252
0.071,6725.0,277.89,274.06,-3.82,279.34,1.45,0.1752
0.071,6960.0,101.3,110.63,9.33,111.26,9.96,0.1366
0.071,7275.0,3.9,4.72,0.82,5.35,1.45,0.1002
0.074,6325.0,647.02,642.14,-4.88,645.61,-1.41,0.2357
0.074,6830.0,195.36,195.84,0.49,202.55,7.19,0.1591
0.074,7010.0,75.1,85.46,10.36,82.46,7.36,0.129
0.077,5700.0,1261.78,1272.75,10.97,1275.73,13.95,0.3417
0.077,6650.0,347.19,343.15,-4.04,347.83,0.65,0.1872
0.077,6950.0,112.9,121.13,8.23,122.46,9.56,0.1396
0.077,7325.0,2.98,3.31,0.33,5.49,2.51,0.1027
0.079,6600.0,393.86,390.05,-3.82,395.82,1.96,0.1954
0.079,6980.0,97.5,106.29,8.79,105.34,7.84,0.1359
0.082,5300.0,1659.97,1682.33,22.36,1683.69,23.72,0.4102
0.082,6075.0,893.73,894.06,0.32,899.33,5.6,0.2761
0.082,6430.0,552.22,545.53,-6.69,554.0,1.79,0.2215
0.082,6600.0,396.38,391.88,-4.5,397.87,1.48,0.1966
0.082,6770.0,251.2,246.77,-4.43,252.89,1.68,0.1711
0.082,6875.0,170.37,171.97,1.6,177.6,7.23,0.1544
0.082,6975.0,105.1,111.33,6.23,110.74,5.64,0.14
0.082,7090.0,47.6,53.9,6.3,46.98,-0.62,0.1228
0.082,7260.0,8.85,8.15,-0.7,7.51,-1.34,0.1077
0.09,6325.0,654.03,648.87,-5.17,653.42,-0.61,0.2305
0.09,6825.0,211.81,212.45,0.64,218.84,7.03,0.1591
0.09,7500.0,0.98,3.96,2.99,3.39,2.42,0.1092
0.101,5550.0,1415.57,1429.39,13.82,1428.3,12.72,0.3479
0.101,6200.0,779.11,777.32,-1.79,782.24,3.13,0.2485
0.101,6530.0,471.0,465.39,-5.61,475.26,4.25,0.2042
0.101,6700.0,322.84,318.5,-4.34,323.52,0.68,0.1805
0.101,6870.0,189.08,190.03,0.95,195.41,6.33,0.1555
0.101,7030.0,88.85,96.41,7.56,91.63,2.78,0.1334
0.101,7225.0,20.15,20.31,0.16,16.16,-3.99,0.1122
0.11,6300.0,686.3,682.01,-4.29,687.05,0.74,0.2299
0.11,6875.0,189.34,192.83,3.49,197.82,8.48,0.1523
0.12,5225.0,1740.91,1766.3,25.4,1765.02,24.11,0.3857
0.12,5640.0,1331.01,1339.31,8.3,1341.79,10.79,0.3214
0.12,5810.0,1164.17,1170.12,5.95,1174.08,9.92,0.2969
0.12,5975.0,1003.5,1002.37,-1.13,1006.33,2.83,0.2747
0.12,6150.0,834.93,831.76,-3.17,840.08,5.15,0.2515
0.12,6295.0,696.93,691.88,-5.05,697.62,0.69,0.2312
0.12,6395.0,605.02,596.0,-9.02,604.98,-0.04,0.2207
0.12,6495.0,513.12,506.05,-7.06,517.57,4.45,0.2061
0.12,6595.0,425.91,420.62,-5.3,429.34,3.43,0.195
0.12,6695.0,341.01,336.67,-4.34,341.89,0.88,0.1816
0.12,6800.0,255.48,253.54,-1.94,258.65,3.18,0.1656
0.12,6900.0,181.82,184.59,2.76,188.4,6.58,0.1515
0.12,7000.0,118.95,125.79,6.84,123.3,4.35,0.1389
0.12,7100.0,69.6,75.29,5.69,66.86,-2.74,0.1279
0.12,7200.0,34.5,35.86,1.36,28.81,-5.69,0.1173
0.12,7350.0,10.1,7.19,-2.91,9.23,-0.87,0.11
0.12,7520.0,2.65,4.61,1.96,4.78,2.13,0.1119
0.14,5700.0,1277.32,1282.44,5.12,1288.01,10.7,0.3061
0.14,6325.0,678.94,671.99,-6.95,679.34,0.4,0.2266
0.14,6675.0,369.65,366.28,-3.37,372.43,2.78,0.183
0.14,6840.0,239.35,238.46,-0.9,242.7,3.35,0.1612
0.14,7010.0,127.7,133.02,5.32,130.0,2.3,0.1404
0.14,7225.0,37.65,37.13,-0.52,30.23,-7.42,0.1188
0.151,5270.0,1702.28,1723.98,21.7,1724.36,22.08,0.3606
0.151,5490.0,1485.71,1500.24,14.53,1503.31,17.61,0.3293
0.151,5605.0,1372.85,1382.16,9.31,1384.32,11.47,0.3132
0.151,5730.0,1250.74,1254.97,4.23,1261.86,11.12,0.2968
0.151,5830.0,1153.45,1156.97,3.52,1163.26,9.81,0.2837
0.151,5980.0,1008.68,1006.94,-1.74,1012.68,4.0,0.2651
0.151,6150.0,846.53,841.87,-4.66,852.72,6.2,0.2442
0.151,6255.0,748.26,743.58,-4.68,752.12,3.86,0.2322
0.151,6355.0,656.06,649.02,-7.05,657.44,1.37,0.2205
0.151,6455.0,565.62,557.23,-8.39,568.79,3.17,0.2086
0.151,6555.0,477.43,471.52,-5.9,483.17,5.75,0.1965
0.151,6655.0,392.33,389.61,-2.72,396.97,4.64,0.1842
0.151,6755.0,310.69,309.76,-0.93,313.98,3.29,0.1712
0.151,6860.0,230.87,232.19,1.32,235.79,4.91,0.1575
0.151,6960.0,163.3,168.36,5.06,168.71,5.41,0.1454
0.151,7060.0,105.3,113.59,8.29,107.34,2.04,0.1331
0.151,7160.0,61.0,66.86,5.86,57.31,-3.69,0.1226
0.151,7260.0,32.0,31.6,-0.4,26.2,-5.8,0.1153
0.151,7360.0,15.65,11.89,-3.76,13.12,-2.53,0.1112
0.151,7460.0,7.3,5.66,-1.64,8.84,1.54,0.1093
0.151,7590.0,2.95,5.27,2.32,4.83,1.88,0.1112
0.151,7770.0,1.0,4.21,3.21,4.93,3.93,0.1175
0.197,5575.0,1418.15,1427.02,8.88,1432.13,13.99,0.3057
0.197,5830.0,1171.55,1172.07,0.52,1182.29,10.75,0.2744
0.197,6000.0,1010.13,1006.71,-3.42,1015.46,5.33,0.2563
0.197,6170.0,850.21,843.94,-6.27,857.33,7.12,0.2363
0.197,6340.0,695.44,689.14,-6.3,699.48,4.04,0.2189
0.197,6460.0,588.76,581.1,-7.66,592.59,3.82,0.2057
0.197,6560.0,501.39,496.04,-5.35,508.33,6.94,0.1935
0.197,6660.0,417.81,416.18,-1.64,424.99,7.18,0.1822
0.197,6760.0,339.09,339.19,0.1,343.31,4.23,0.1718
0.197,6860.0,264.16,265.8,1.64,267.71,3.55,0.1601
0.197,6960.0,196.25,199.76,3.51,199.7,3.45,0.1491
0.197,7065.0,133.75,140.15,6.4,134.96,1.21,0.1375
0.197,7170.0,85.0,89.25,4.25,79.65,-5.35,0.1284
0.197,7330.0,35.55,32.05,-3.5,28.2,-7.35,0.1171
0.197,7500.0,12.3,8.44,-3.86,12.07,-0.23,0.1119
0.233,5325.0,1673.45,1689.63,16.17,1694.52,21.07,0.3275
0.233,5575.0,1431.13,1438.43,7.29,1446.43,15.3,0.2986
0.233,5830.0,1186.96,1185.39,-1.57,1197.71,10.75,0.2707
0.233,6030.0,998.46,993.9,-4.56,1004.92,6.46,0.2493
0.233,6220.0,823.53,815.82,-7.71,830.5,6.97,0.2299
0.233,6380.0,680.15,673.43,-6.72,684.87,4.73,0.2135
0.233,6490.0,584.29,577.12,-7.16,588.83,4.54,0.2019
0.233,6600.0,491.62,485.85,-5.77,497.56,5.93,0.1905
0.233,6705.0,406.62,404.36,-2.26,412.03,5.41,0.1794
0.233,6815.0,321.96,322.75,0.79,325.39,3.43,0.1674
0.233,6920.0,247.65,249.46,1.8,249.69,2.03,0.1564
0.233,7020.0,183.7,187.16,3.46,184.81,1.11,0.146
0.233,7145.0,117.3,121.07,3.77,113.2,-4.1,0.1346
0.233,7275.0,65.85,65.42,-0.43,56.76,-9.09,0.1244
0.233,7395.0,35.7,29.64,-6.06,27.78,-7.92,0.1182
0.233,7550.0,15.0,9.99,-5.01,13.91,-1.09,0.114
0.233,7800.0,3.65,6.92,3.27,7.56,3.91,0.1141
0.274,5550.0,1467.73,1474.04,6.31,1485.26,17.53,0.2941
0.274,5875.0,1159.48,1156.44,-3.05,1170.87,11.39,0.2611
0.274,6040.0,1006.18,1001.19,-5.0,1014.24,8.06,0.245
0.274,6210.0,851.43,843.43,-8.0,859.07,7.64,0.2286
0.274,6375.0,705.83,698.5,-7.33,711.69,5.86,0.2132
0.274,6545.0,560.08,553.88,-6.2,565.61,5.53,0.1959
0.274,6650.0,474.23,469.81,-4.41,480.45,6.22,0.1855
0.274,6755.0,391.98,390.94,-1.04,397.23,5.26,0.175
0.274,6865.0,311.23,312.38,1.15,313.8,2.58,0.1642
0.274,6965.0,244.15,245.42,1.27,244.33,0.18,0.155
0.274,7065.0,183.15,185.31,2.16,181.67,-1.48,0.1454
0.274,7225.0,105.75,105.61,-0.14,96.82,-8.93,0.133
0.274,7390.0,51.8,45.5,-6.3,41.04,-10.76,0.1226
0.274,7800.0,6.45,8.29,1.84,9.84,3.39,0.1148
0.312,5675.0,1361.2,1363.52,2.32,1376.22,15.02,0.2768
0.312,6175.0,900.18,892.61,-7.57,908.27,8.1,0.2303
0.312,6600.0,535.85,530.46,-5.39,541.79,5.94,0.1909
0.312,6770.0,402.98,401.61,-1.38,408.24,5.26,0.1748
0.312,6940.0,282.66,284.26,1.6,283.88,1.21,0.1591
0.312,7110.0,179.85,181.74,1.89,177.25,-2.6,0.1442
0.312,7650.0,20.4,13.65,-6.75,18.33,-2.07,0.1172
0.367,5550.0,1497.26,1501.27,4.01,1516.63,19.37,0.2841
0.367,6025.0,1058.87,1052.18,-6.69,1069.82,10.96,0.2424
0.367,6190.0,911.26,903.65,-7.61,920.37,9.12,0.2275
0.367,6370.0,755.3,747.44,-7.86,763.82,8.52,0.2119
0.367,6530.0,621.87,615.83,-6.05,628.38,6.51,0.1981
0.367,6700.0,487.63,482.82,-4.81,492.72,5.09,0.1836
0.367,6870.0,361.79,361.58,-0.21,365.27,3.48,0.1681
0.367,7030.0,256.0,258.12,2.12,256.18,0.18,0.1542
0.367,7200.0,164.3,163.7,-0.6,158.04,-6.26,0.142
0.367,7370.0,94.3,90.17,-4.13,83.1,-11.2,0.1309
0.367,7825.0,15.0,12.18,-2.82,16.7,1.7,0.1179
0.4,5450.0,1600.79,1609.12,8.33,1623.88,23.09,0.2889
0.4,5950.0,1138.75,1133.37,-5.38,1152.3,13.55,0.2466
0.4,6160.0,951.58,944.58,-7.0,962.16,10.58,0.2291
0.4,6330.0,804.43,796.58,-7.85,814.02,9.59,0.2149
0.4,6480.0,678.99,672.42,-6.57,687.08,8.08,0.2024
0.4,6605.0,578.0,573.02,-4.98,584.79,6.79,0.1918
0.4,6710.0,496.41,492.78,-3.64,502.72,6.31,0.1829
0.4,6820.0,425.85,413.42,-12.43,420.19,-5.66,0.1801
0.4,6920.0,344.99,345.72,0.73,348.35,3.36,0.1651
0.4,7025.0,274.95,278.94,3.99,277.81,2.86,0.1553
0.4,7160.0,197.85,201.08,3.23,196.92,-0.93,0.1451
0.4,7425.0,88.2,84.27,-3.93,78.36,-9.84,0.1293
0.446,5225.0,1826.36,1842.64,16.28,1857.76,31.4,0.3045
0.446,5725.0,1359.97,1359.59,-0.38,1378.9,18.93,0.2626
0.446,6150.0,979.84,972.85,-6.99,992.03,12.2,0.2289
0.446,6330.0,825.57,817.9,-7.67,835.98,10.41,0.2146
0.446,6510.0,676.91,670.65,-6.26,685.83,8.93,0.2002
0.446,6675.0,546.3,543.0,-3.3,554.18,7.88,0.1865
0.446,6850.0,416.91,416.87,-0.04,423.69,6.78,0.1721
0.446,7025.0,300.9,303.3,2.4,303.54,2.64,0.1586
0.446,7190.0,207.0,208.72,1.72,204.93,-2.07,0.1467
0.446,7360.0,130.5,128.59,-1.91,122.68,-7.82,0.1362
0.446,7850.0,23.8,17.89,-5.91,24.13,0.33,0.1201
0.542,5450.0,1642.73,1650.08,7.34,1670.99,28.26,0.2792
0.542,5950.0,1192.43,1187.27,-5.16,1209.72,17.29,0.2425
0.542,6475.0,750.76,742.68,-8.08,760.86,10.09,0.2047
0.542,6975.0,382.15,382.38,0.23,387.69,5.54,0.1671
0.542,7475.0,127.35,123.87,-3.48,119.81,-7.54,0.1363
0.542,8100.0,17.85,18.29,0.44,25.03,7.18,0.1212
0.619,5575.0,1551.04,1555.19,4.15,1579.3,28.25,0.2661
0.619,6075.0,1112.72,1106.21,-6.52,1130.54,17.82,0.2324
0.619,6600.0,687.45,680.63,-6.82,698.17,10.71,0.1967
0.619,7100.0,340.2,342.78,2.58,346.67,6.47,0.1614
0.619,7600.0,113.95,109.73,-4.22,107.77,-6.18,0.1348
0.619,8600.0,5.9,25.28,19.38,29.55,23.65,0.1226
0.652,5775.0,1383.48,1382.41,-1.07,1408.32,24.84,0.2517
0.652,6275.0,958.96,950.71,-8.24,974.35,15.39,0.2191
0.652,6395.0,861.96,853.79,-8.17,875.65,13.69,0.2111
0.652,6500.0,779.07,771.37,-7.7,791.57,12.5,0.2041
0.652,6600.0,702.07,695.23,-6.84,713.6,11.54,0.1973
0.652,6700.0,627.31,621.75,-5.56,637.77,10.46,0.1905
0.652,6800.0,555.01,551.09,-3.92,564.42,9.41,0.1837
0.652,6905.0,481.72,480.05,-1.67,490.54,8.83,0.1764
0.652,7025.0,401.3,403.3,2.0,410.52,9.22,0.1675
0.652,7130.0,337.25,340.64,3.39,344.79,7.54,0.1607
0.652,7230.0,280.9,285.19,4.29,286.58,5.68,0.1544
0.652,7330.0,231.05,234.12,3.07,233.42,2.37,0.149
0.652,8200.0,23.2,23.7,0.5,32.19,8.99,0.1232
0.695,5625.0,1529.46,1532.61,3.15,1559.39,29.93,0.2602
0.695,6125.0,1099.26,1092.57,-6.69,1118.62,19.36,0.2285
0.695,6625.0,702.06,695.85,-6.21,714.85,12.79,0.1963
0.695,7150.0,346.6,349.24,2.64,354.37,7.77,0.1618
0.695,7650.0,124.1,121.27,-2.83,120.54,-3.56,0.1365
0.791,5250.0,1891.55,1908.25,16.7,1935.87,44.32,0.2812
0.791,5750.0,1449.96,1450.44,0.47,1480.31,30.34,0.2504
0.791,6250.0,1033.62,1025.82,-7.8,1053.39,19.76,0.221
0.791,6750.0,652.99,647.68,-5.3,666.63,13.65,0.1906
0.791,7275.0,319.8,323.38,3.58,328.63,8.83,0.1588
0.791,7775.0,118.35,115.9,-2.45,117.49,-0.86,0.1365
0.868,5375.0,1799.09,1812.89,13.79,1843.71,44.61,0.27
0.868,5875.0,1367.44,1366.89,-0.55,1398.88,31.44,0.2414
0.868,6375.0,963.09,956.74,-6.35,984.94,21.85,0.2134
0.868,6875.0,597.49,596.11,-1.37,614.46,16.97,0.1843
0.868,7375.0,298.1,305.44,7.34,311.13,13.03,0.1557
0.868,7900.0,107.5,106.29,-1.21,110.06,2.56,0.1355
0.903,5700.0,1526.66,1530.97,4.32,1564.08,37.43,0.2504
0.903,5960.0,1307.35,1306.9,-0.45,1339.66,32.31,0.2356
0.903,6125.0,1172.44,1169.81,-2.63,1201.66,29.22,0.2265
0.903,6325.0,1014.12,1009.77,-4.35,1039.61,25.49,0.2156
0.903,6490.0,887.36,883.3,-4.05,910.81,23.45,0.2063
0.903,6630.0,783.61,780.48,-3.14,805.41,21.8,0.1985
0.903,6780.0,676.08,675.28,-0.8,697.04,20.95,0.1898
0.903,6890.0,600.31,601.72,1.41,620.88,20.57,0.1833
0.903,7000.0,526.55,531.5,4.95,547.84,21.29,0.1765
0.903,7130.0,445.75,453.13,7.38,466.05,20.3,0.1692
0.903,7255.0,373.75,382.88,9.13,392.63,18.88,0.1625
0.903,7395.0,300.4,310.73,10.33,317.24,16.84,0.1552
0.903,7570.0,221.9,231.21,9.31,234.78,12.88,0.1473
0.903,7770.0,150.7,156.25,5.55,159.02,8.32,0.1396
0.903,8000.0,93.0,92.98,-0.02,98.49,5.49,0.1335
0.903,8200.0,59.5,58.2,-1.3,67.54,8.04,0.1299
0.945,5475.0,1730.94,1744.38,13.44,1777.99,47.05,0.2608
0.945,5975.0,1307.47,1308.9,1.44,1342.76,35.29,0.2336
0.945,6500.0,894.0,892.57,-1.43,921.13,27.13,0.2053
0.945,7000.0,545.15,549.4,4.25,567.18,22.03,0.1781
0.945,7500.0,268.2,278.42,10.22,284.33,16.13,0.1523
0.945,8100.0,83.3,83.5,0.2,90.72,7.42,0.1328
1.04,5625.0,1629.97,1641.3,11.33,1678.17,48.2,0.2505
1.04,6350.0,1043.61,1044.21,0.6,1077.75,34.15,0.2135
1.04,7050.0,549.75,560.21,10.46,580.13,30.38,0.1764
1.04,7850.0,166.1,178.6,12.5,183.95,17.85,0.1411
1.117,5500.0,1756.76,1773.04,16.28,1811.68,54.92,0.2557
1.117,6025.0,1323.31,1327.49,4.18,1366.01,42.7,0.2299
1.117,6525.0,939.92,942.04,2.12,975.42,35.5,0.2052
1.117,7025.0,593.55,606.41,12.86,629.62,36.07,0.1789
1.117,7525.0,316.6,336.39,19.79,347.76,31.16,0.1554
1.117,8600.0,45.15,54.93,9.78,68.38,23.23,0.1293
