T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.306,6825.0,PUT,192.75,191.82,-0.93,0.1693,0.1687
0.306,7200.0,CALL,114.05,102.78,-11.27,0.1369,0.1288
0.361,5550.0,PUT,43.4,33.8,-9.6,0.2832,0.2662
0.361,6170.0,PUT,90.45,86.1,-4.35,0.2284,0.2242
0.361,6480.0,PUT,134.15,133.23,-0.92,0.2016,0.2009
0.361,6790.0,PUT,202.65,202.52,-0.13,0.1746,0.1745
0.361,7110.0,CALL,183.2,177.06,-6.14,0.1473,0.1435
0.361,7450.0,CALL,58.05,46.98,-11.07,0.1273,0.1175
0.394,5475.0,PUT,44.15,34.73,-9.42,0.2858,0.2694
0.394,6140.0,PUT,95.2,90.24,-4.96,0.2298,0.2252
0.394,6460.0,PUT,140.5,139.39,-1.11,0.2032,0.2024
0.394,6670.0,PUT,183.05,183.3,0.25,0.1856,0.1858
0.394,6870.0,PUT,236.9,236.84,-0.06,0.1686,0.1686
0.394,7060.0,CALL,225.15,223.74,-1.41,0.152,0.1512
0.394,7550.0,CALL,45.6,38.25,-7.35,0.1241,0.1171
0.44,5700.0,PUT,64.95,55.67,-9.28,0.2636,0.252
0.44,6310.0,PUT,129.3,125.33,-3.97,0.2152,0.2123
0.44,6625.0,PUT,186.9,185.83,-1.07,0.19,0.1893
0.44,6960.0,CALL,309.8,308.16,-1.64,0.1631,0.1622
0.44,7275.0,CALL,144.25,134.85,-9.4,0.1409,0.1353
0.44,8400.0,CALL,2.6,3.04,0.44,0.1232,0.1259
0.536,6025.0,PUT,115.45,105.46,-9.99,0.2362,0.2282
0.536,6975.0,CALL,349.55,347.38,-2.17,0.1669,0.1658
0.536,7900.0,CALL,28.85,24.3,-4.55,0.124,0.1187
0.612,5900.0,PUT,116.5,103.25,-13.25,0.2434,0.2329
0.612,6825.0,PUT,291.9,286.94,-4.96,0.1808,0.1784
0.612,7775.0,CALL,60.2,52.4,-7.8,0.1293,0.1234
0.646,5850.0,PUT,116.8,102.29,-14.51,0.2457,0.2343
0.646,6400.0,PUT,199.65,188.09,-11.56,0.2102,0.2037
0.646,6585.0,PUT,238.6,229.33,-9.27,0.1979,0.1931
0.646,6775.0,PUT,286.95,280.12,-6.83,0.1852,0.1819
0.646,6985.0,CALL,394.1,391.76,-2.34,0.17,0.1689
0.646,7175.0,CALL,283.75,281.32,-2.43,0.1578,0.1567
0.646,7425.0,CALL,167.45,161.75,-5.7,0.1437,0.1409
0.689,5675.0,PUT,105.9,90.28,-15.62,0.2561,0.2429
0.689,6625.0,PUT,259.5,249.27,-10.23,0.1961,0.1911
0.689,7550.0,CALL,139.15,131.55,-7.6,0.1406,0.1367
0.785,5550.0,PUT,108.9,92.32,-16.58,0.2617,0.248
0.785,6475.0,PUT,250.1,235.91,-14.19,0.2077,0.2008
0.785,7425.0,CALL,222.85,220.16,-2.69,0.1512,0.15
0.861,5400.0,PUT,104.45,88.91,-15.54,0.2679,0.2548
0.861,6350.0,PUT,239.25,224.06,-15.19,0.2149,0.2075
0.861,7275.0,CALL,323.55,324.02,0.47,0.1615,0.1617
0.898,5300.0,PUT,99.45,84.66,-14.79,0.2722,0.2593
0.898,6055.0,PUT,188.15,175.31,-12.84,0.2288,0.2218
0.898,6390.0,PUT,248.15,239.91,-8.24,0.2097,0.2058
0.898,6645.0,PUT,312.9,303.17,-9.73,0.198,0.1938
0.898,6895.0,PUT,383.45,379.24,-4.21,0.1836,0.1819
0.898,7120.0,CALL,421.3,423.18,1.88,0.1702,0.171
0.898,7335.0,CALL,305.55,309.43,3.88,0.1588,0.1603
0.898,7690.0,CALL,160.3,161.29,0.99,0.1432,0.1436
0.898,8090.0,CALL,67.65,64.79,-2.86,0.1325,0.1307
0.938,5600.0,PUT,133.35,118.54,-14.81,0.2535,0.2432
0.938,6550.0,PUT,295.95,285.52,-10.43,0.203,0.1985
0.938,7475.0,CALL,256.55,260.35,3.8,0.1539,0.1554
1.034,5500.0,PUT,135.2,119.52,-15.68,0.2574,0.2467
1.034,6850.0,PUT,395.9,391.15,-4.75,0.1881,0.1863
1.034,8500.0,CALL,40.35,40.17,-0.18,0.1302,0.1301
1.111,6150.0,PUT,243.35,227.34,-16.01,0.2244,0.217
1.111,7100.0,CALL,515.05,519.59,4.54,0.1764,0.178
1.111,8600.0,CALL,40.65,41.78,1.13,0.1308,0.1317
