T,K,Market,Ana_Price,Ana_Err,MC_Price,MC_Err,IV_Mkt
0.041,5425.0,1496.51,1506.58,10.08,1506.51,10.0,0.4779
0.041,5880.0,1043.3,1046.14,2.84,1046.43,3.13,0.3643
0.041,6060.0,864.9,865.04,0.14,865.46,0.56,0.3269
0.041,6180.0,745.84,745.12,-0.72,745.38,-0.45,0.2946
0.041,6280.0,647.39,645.38,-2.01,646.34,-1.05,0.2727
0.041,6375.0,555.29,551.91,-3.38,552.7,-2.59,0.2576
0.041,6470.0,463.98,459.41,-4.57,460.95,-3.03,0.2392
0.041,6570.0,368.93,365.13,-3.81,366.46,-2.47,0.2163
0.041,6665.0,284.58,278.97,-5.61,280.65,-3.93,0.2041
0.041,6760.0,203.98,199.42,-4.56,200.29,-3.68,0.1866
0.041,6860.0,127.33,124.92,-2.41,124.84,-2.49,0.1666
0.041,6955.0,68.15,68.06,-0.09,66.85,-1.3,0.1487
0.041,7050.0,25.9,28.22,2.32,27.77,1.87,0.1284
0.041,7150.0,5.5,7.69,2.19,9.33,3.83,0.1118
0.049,5875.0,1050.48,1052.93,2.45,1053.26,2.79,0.3472
0.049,6350.0,582.45,580.11,-2.33,581.33,-1.12,0.2479
0.049,6720.0,241.78,240.24,-1.54,241.56,-0.22,0.1843
0.049,6875.0,121.71,124.17,2.46,123.49,1.78,0.1557
0.049,7030.0,35.9,41.94,6.04,40.7,4.8,0.1255
0.052,5700.0,1225.16,1229.96,4.8,1230.22,5.05,0.3822
0.052,6325.0,608.25,605.68,-2.57,607.1,-1.15,0.2519
0.052,6700.0,261.78,259.38,-2.39,260.86,-0.92,0.1885
0.052,6870.0,128.75,130.41,1.65,129.62,0.87,0.1578
0.052,7025.0,40.7,46.19,5.49,44.74,4.04,0.1278
0.055,5400.0,1524.29,1534.21,9.93,1534.39,10.11,0.4417
0.055,6275.0,658.34,655.63,-2.72,657.06,-1.28,0.2607
0.055,6720.0,248.0,245.53,-2.47,246.73,-1.28,0.1857
0.055,6875.0,128.72,129.95,1.23,128.96,0.25,0.1577
0.055,7050.0,33.65,38.71,5.06,37.78,4.13,0.1244
0.057,5700.0,1226.86,1231.07,4.21,1231.36,4.51,0.3772
0.057,6425.0,516.56,512.02,-4.53,513.7,-2.86,0.2365
0.057,6780.0,203.82,200.87,-2.95,200.97,-2.84,0.1782
0.057,6940.0,92.05,92.79,0.74,90.96,-1.09,0.1492
0.057,7125.0,16.35,18.93,2.58,20.36,4.01,0.1175
0.06,5330.0,1595.31,1606.14,10.83,1606.13,10.82,0.4493
0.06,5525.0,1401.4,1408.46,7.06,1408.67,7.27,0.409
0.06,5680.0,1247.42,1251.86,4.44,1252.04,4.62,0.3766
0.06,5850.0,1078.92,1080.65,1.73,1080.97,2.05,0.3424
0.06,6010.0,920.88,920.37,-0.51,920.92,0.03,0.3109
0.06,6145.0,788.29,786.05,-2.24,787.16,-1.12,0.2852
