T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.057,130.0,PUT,0.27,0.2,-0.07,0.7547,0.7201
0.057,140.0,PUT,0.46,0.39,-0.06,0.6789,0.6596
0.057,150.0,PUT,0.85,0.73,-0.12,0.617,0.5952
0.057,160.0,PUT,1.73,1.41,-0.32,0.5714,0.5356
0.057,170.0,PUT,3.45,2.86,-0.59,0.5347,0.4899
0.057,190.0,CALL,6.35,5.56,-0.79,0.4859,0.44
0.057,200.0,CALL,3.08,2.48,-0.6,0.4697,0.4267
0.057,210.0,CALL,1.31,0.93,-0.38,0.4592,0.417
0.057,220.0,CALL,0.56,0.3,-0.25,0.4636,0.4107
0.057,230.0,CALL,0.24,0.08,-0.16,0.476,0.4056
0.076,135.0,PUT,0.46,0.39,-0.07,0.6538,0.6356
0.076,145.0,PUT,0.84,0.76,-0.08,0.6002,0.5873
0.076,155.0,PUT,1.61,1.45,-0.16,0.5584,0.5413
0.076,165.0,PUT,3.08,2.76,-0.32,0.5254,0.5022
0.076,180.0,PUT,7.47,6.9,-0.57,0.4894,0.4602
0.076,195.0,CALL,5.47,4.98,-0.5,0.462,0.4358
0.076,205.0,CALL,2.77,2.39,-0.38,0.4496,0.4244
0.076,215.0,CALL,1.31,1.03,-0.28,0.4444,0.4162
0.076,225.0,CALL,0.61,0.4,-0.21,0.4478,0.4106
0.095,130.0,PUT,0.47,0.39,-0.08,0.6468,0.624
0.095,140.0,PUT,0.8,0.76,-0.04,0.5925,0.5853
0.095,150.0,PUT,1.48,1.42,-0.06,0.5535,0.5471
0.095,160.0,PUT,2.73,2.6,-0.12,0.5217,0.513
0.095,170.0,PUT,4.88,4.65,-0.23,0.4967,0.4845
0.095,190.0,CALL,8.47,8.04,-0.43,0.4649,0.4457
0.095,200.0,CALL,4.78,4.5,-0.28,0.4467,0.4329
0.095,210.0,CALL,2.5,2.29,-0.2,0.436,0.4228
0.095,220.0,CALL,1.25,1.07,-0.19,0.433,0.4148
0.095,235.0,CALL,0.46,0.29,-0.17,0.4404,0.406
0.114,135.0,PUT,0.86,0.73,-0.13,0.608,0.5865
0.114,145.0,PUT,1.5,1.36,-0.14,0.5689,0.5542
0.114,155.0,PUT,2.62,2.44,-0.19,0.5372,0.5235
0.114,165.0,PUT,4.5,4.22,-0.28,0.5116,0.4966
0.114,180.0,PUT,9.35,8.94,-0.41,0.4825,0.4654
0.114,195.0,CALL,7.65,7.16,-0.49,0.4637,0.4436
0.114,210.0,CALL,3.45,3.06,-0.39,0.4492,0.428
0.114,230.0,CALL,1.06,0.77,-0.29,0.4453,0.4138
0.191,135.0,PUT,1.58,1.54,-0.03,0.5477,0.5449
0.191,150.0,PUT,3.25,3.4,0.15,0.5081,0.5164
0.191,160.0,PUT,5.15,5.42,0.27,0.4875,0.4991
0.191,170.0,PUT,7.85,8.26,0.41,0.4687,0.4833
0.191,180.0,PUT,11.65,12.07,0.42,0.4559,0.4693
0.191,200.0,CALL,8.62,8.91,0.28,0.4365,0.4456
0.191,220.0,CALL,3.73,3.78,0.06,0.4261,0.4285
0.268,130.0,PUT,1.99,1.91,-0.09,0.5411,0.5345
0.268,140.0,PUT,3.1,3.13,0.03,0.5181,0.5198
0.268,150.0,PUT,4.65,4.88,0.23,0.4958,0.5054
0.268,165.0,PUT,8.32,8.75,0.43,0.4721,0.4857
0.268,175.0,PUT,11.88,12.33,0.45,0.461,0.4738
0.268,190.0,CALL,15.47,15.91,0.44,0.4468,0.4583
0.268,200.0,CALL,11.43,11.81,0.38,0.4389,0.4491
0.268,220.0,CALL,5.9,6.02,0.12,0.4297,0.4336
0.361,132.0,PUT,3.35,3.13,-0.22,0.529,0.5178
0.361,135.0,PUT,3.8,3.57,-0.23,0.5248,0.5142
0.361,138.0,PUT,4.22,4.06,-0.17,0.5178,0.5106
0.361,142.0,PUT,4.95,4.78,-0.17,0.5125,0.5058
0.361,146.0,PUT,5.7,5.59,-0.11,0.5051,0.5012
0.361,150.0,PUT,6.58,6.5,-0.07,0.4992,0.4967
0.361,154.0,PUT,7.6,7.51,-0.09,0.4952,0.4923
0.361,156.0,PUT,8.12,8.05,-0.08,0.4924,0.4901
0.361,160.0,PUT,9.27,9.22,-0.06,0.4875,0.4859
0.361,165.0,PUT,10.85,10.84,-0.01,0.4812,0.4808
0.361,167.0,PUT,11.55,11.54,-0.01,0.4792,0.4789
0.361,169.0,PUT,12.27,12.26,-0.01,0.4772,0.4769
0.361,171.0,PUT,13.02,13.02,-0.0,0.4751,0.475
0.361,173.0,PUT,13.85,13.81,-0.04,0.4741,0.4732
0.361,176.0,PUT,14.98,15.05,0.08,0.4686,0.4704
0.361,178.0,PUT,15.93,15.91,-0.01,0.4688,0.4686
0.361,180.0,PUT,16.77,16.81,0.03,0.466,0.4667
0.361,190.0,CALL,19.1,19.0,-0.1,0.4603,0.4581
0.361,193.0,CALL,17.82,17.67,-0.15,0.4591,0.4556
0.361,195.0,CALL,17.0,16.82,-0.18,0.458,0.454
0.361,205.0,CALL,13.25,13.01,-0.24,0.4518,0.4463
0.361,212.0,CALL,11.1,10.77,-0.33,0.4495,0.4416
0.361,214.0,CALL,10.48,10.19,-0.29,0.4473,0.4403
0.361,217.0,CALL,9.77,9.36,-0.42,0.4486,0.4383
0.361,219.0,CALL,9.27,8.84,-0.44,0.448,0.437
0.361,221.0,CALL,8.77,8.34,-0.44,0.4469,0.4358
0.361,223.0,CALL,8.3,7.86,-0.44,0.4459,0.4346
0.361,225.0,CALL,7.8,7.41,-0.39,0.4437,0.4333
0.361,228.0,CALL,7.28,6.77,-0.5,0.4453,0.4315
0.361,235.0,CALL,6.0,5.45,-0.55,0.4438,0.4275
0.44,135.0,PUT,4.55,4.5,-0.05,0.509,0.507
0.44,145.0,PUT,6.53,6.54,0.02,0.4962,0.4969
0.44,160.0,PUT,10.55,10.69,0.14,0.4787,0.4823
0.44,170.0,PUT,14.12,14.28,0.15,0.4702,0.4737
0.44,180.0,PUT,18.4,18.55,0.15,0.4626,0.4658
0.44,195.0,CALL,19.1,19.2,0.1,0.4529,0.4548
0.44,210.0,CALL,13.68,13.63,-0.05,0.4457,0.4447
0.536,130.0,PUT,4.72,4.53,-0.19,0.5089,0.5015
0.536,140.0,PUT,6.62,6.55,-0.07,0.4956,0.4934
0.536,150.0,PUT,9.07,9.11,0.04,0.4845,0.4855
0.536,160.0,PUT,12.12,12.25,0.12,0.4751,0.4778
0.536,170.0,PUT,15.82,15.99,0.17,0.4672,0.4706
0.536,190.0,CALL,23.82,23.91,0.08,0.4558,0.4573
0.536,200.0,CALL,19.77,19.7,-0.07,0.4522,0.4509
0.536,220.0,CALL,13.27,12.98,-0.29,0.4448,0.4391
0.613,130.0,PUT,5.62,5.22,-0.41,0.5094,0.4957
0.613,145.0,PUT,9.05,8.67,-0.38,0.4944,0.4847
0.613,155.0,PUT,11.98,11.67,-0.3,0.485,0.4782
0.613,165.0,PUT,15.5,15.24,-0.26,0.4771,0.4718
0.613,175.0,PUT,19.6,19.39,-0.21,0.4697,0.4658
0.613,190.0,CALL,26.15,25.81,-0.34,0.4631,0.4571
0.613,210.0,CALL,18.45,17.96,-0.49,0.4544,0.4459
0.613,230.0,CALL,12.9,12.11,-0.79,0.4506,0.4357
0.785,135.0,PUT,8.57,7.96,-0.62,0.5014,0.4857
0.785,145.0,PUT,11.3,10.65,-0.65,0.4933,0.4792
0.785,155.0,PUT,14.5,13.88,-0.62,0.4854,0.4733
0.785,170.0,PUT,20.43,19.71,-0.71,0.4775,0.4652
0.785,180.0,PUT,25.05,24.25,-0.8,0.4731,0.4601
0.785,195.0,CALL,28.38,27.49,-0.89,0.4667,0.4529
0.785,210.0,CALL,22.8,21.77,-1.03,0.4617,0.4459
0.862,130.0,PUT,8.15,7.4,-0.75,0.5048,0.4854
0.862,134.0,PUT,9.12,8.37,-0.76,0.5013,0.483
0.862,136.0,PUT,9.6,8.88,-0.72,0.4986,0.4818
0.862,140.0,PUT,10.65,9.97,-0.68,0.4946,0.4794
0.862,144.0,PUT,11.8,11.13,-0.67,0.4912,0.4771
0.862,148.0,PUT,13.1,12.38,-0.72,0.4894,0.4749
0.862,152.0,PUT,14.4,13.7,-0.7,0.4861,0.4728
0.862,155.0,PUT,15.48,14.75,-0.72,0.4846,0.4712
0.862,158.0,PUT,16.6,15.85,-0.75,0.4833,0.4697
0.862,162.0,PUT,18.15,17.37,-0.78,0.4811,0.4676
0.862,166.0,PUT,19.73,18.98,-0.74,0.4781,0.4656
0.862,168.0,PUT,20.62,19.82,-0.8,0.478,0.4646
0.862,170.0,PUT,21.5,20.68,-0.82,0.4772,0.4636
0.862,172.0,PUT,22.4,21.55,-0.85,0.4764,0.4627
0.862,175.0,PUT,23.77,22.91,-0.87,0.4751,0.4613
0.862,177.0,PUT,24.68,23.83,-0.84,0.4737,0.4603
0.862,179.0,PUT,25.6,24.78,-0.82,0.4723,0.4594
0.862,189.0,CALL,32.47,31.61,-0.87,0.4679,0.4548
0.862,191.0,CALL,31.6,30.73,-0.87,0.4669,0.454
0.862,194.0,CALL,30.43,29.46,-0.96,0.467,0.4526
0.862,200.0,CALL,27.98,27.04,-0.94,0.4639,0.4501
0.862,210.0,CALL,24.32,23.35,-0.98,0.4602,0.4458
0.862,213.0,CALL,23.32,22.32,-1.01,0.4593,0.4446
0.862,215.0,CALL,22.73,21.66,-1.07,0.4595,0.4438
0.862,218.0,CALL,21.75,20.69,-1.06,0.4582,0.4425
0.862,220.0,CALL,21.15,20.07,-1.08,0.4577,0.4417
0.862,222.0,CALL,20.55,19.46,-1.09,0.4571,0.4409
0.862,224.0,CALL,20.02,18.87,-1.16,0.4574,0.4402
0.862,227.0,CALL,19.2,18.0,-1.2,0.4569,0.439
0.862,230.0,CALL,18.4,17.17,-1.23,0.4563,0.4378
0.939,130.0,PUT,8.85,8.03,-0.82,0.5032,0.4833
0.939,140.0,PUT,11.52,10.7,-0.82,0.495,0.4778
0.939,150.0,PUT,14.7,13.86,-0.84,0.4883,0.4726
0.939,165.0,PUT,20.35,19.5,-0.85,0.4791,0.4652
0.939,175.0,PUT,24.85,23.85,-1.0,0.4756,0.4603
0.939,190.0,CALL,33.7,32.66,-1.04,0.4688,0.4537
0.939,200.0,CALL,29.65,28.55,-1.1,0.4653,0.4497
0.939,230.0,CALL,20.07,18.61,-1.46,0.4589,0.438
