T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.041,5200.0,PUT,0.88,1.44,0.57,0.5272,0.5575
0.041,6200.0,PUT,6.8,6.13,-0.67,0.2952,0.2894
0.041,6640.0,PUT,36.55,33.05,-3.5,0.2144,0.2055
0.041,6810.0,PUT,74.8,71.77,-3.03,0.1828,0.1771
0.041,6935.0,CALL,55.75,56.18,0.43,0.1552,0.156
0.041,7050.0,CALL,15.25,18.58,3.33,0.1313,0.1408
0.043,5325.0,PUT,1.25,1.78,0.53,0.494,0.515
0.043,5575.0,PUT,1.85,2.4,0.55,0.4335,0.4484
0.043,5740.0,PUT,2.7,2.92,0.22,0.3992,0.4037
0.043,5910.0,PUT,4.0,3.68,-0.32,0.3629,0.3582
0.043,6075.0,PUT,5.45,4.93,-0.52,0.3218,0.3163
0.043,6195.0,PUT,7.9,6.58,-1.32,0.2988,0.2883
0.043,6295.0,PUT,10.15,8.87,-1.28,0.275,0.2671
0.043,6395.0,PUT,14.55,12.61,-1.94,0.2567,0.2477
0.043,6495.0,PUT,21.6,18.72,-2.88,0.2399,0.2297
0.043,6595.0,PUT,33.7,28.62,-5.08,0.2264,0.2128
0.043,6695.0,PUT,45.15,44.42,-0.73,0.1978,0.1962
0.043,6795.0,PUT,71.85,69.12,-2.73,0.1846,0.1795
0.043,6895.0,CALL,79.4,78.19,-1.21,0.1647,0.1625
0.043,6995.0,CALL,35.2,34.63,-0.57,0.1482,0.147
0.043,7095.0,CALL,8.65,12.03,3.38,0.1248,0.1372
0.043,7195.0,CALL,1.65,3.64,1.99,0.1165,0.1342
0.051,5925.0,PUT,4.65,5.0,0.35,0.3335,0.3375
0.051,6450.0,PUT,21.6,20.87,-0.73,0.2377,0.2352
0.051,6750.0,PUT,66.15,65.23,-0.92,0.188,0.1864
0.051,6930.0,CALL,67.65,69.54,1.89,0.1531,0.1562
0.051,7100.0,CALL,10.75,15.57,4.82,0.1218,0.1363
0.054,6000.0,PUT,6.2,6.29,0.09,0.3167,0.3175
0.054,6500.0,PUT,27.75,26.83,-0.92,0.2291,0.2265
0.054,6770.0,PUT,70.8,72.98,2.18,0.1792,0.1828
0.054,6940.0,CALL,65.3,67.31,2.01,0.1512,0.1545
0.054,7110.0,CALL,10.5,15.3,4.8,0.1212,0.1356
0.057,6025.0,PUT,7.25,7.21,-0.04,0.3099,0.3095
0.057,6525.0,PUT,32.5,31.22,-1.28,0.2253,0.2221
0.057,6820.0,PUT,90.75,90.46,-0.29,0.1747,0.1743
0.057,7000.0,CALL,42.75,44.48,1.73,0.1426,0.1457
0.06,5200.0,PUT,1.93,2.16,0.24,0.4762,0.4831
0.06,6375.0,PUT,22.0,20.2,-1.8,0.2515,0.2455
0.06,6770.0,PUT,80.95,77.68,-3.27,0.1876,0.1824
0.06,6940.0,CALL,74.1,72.29,-1.81,0.1571,0.1543
0.06,7175.0,CALL,6.55,9.6,3.05,0.1213,0.1331
0.062,5270.0,PUT,2.33,2.5,0.18,0.4564,0.4607
0.062,5430.0,PUT,3.1,3.11,0.01,0.4265,0.4267
0.062,5600.0,PUT,3.85,3.95,0.1,0.389,0.3904
0.062,5770.0,PUT,5.05,5.14,0.09,0.3538,0.3549
0.062,5930.0,PUT,7.45,6.89,-0.56,0.3274,0.3229
0.062,6100.0,PUT,10.95,10.05,-0.9,0.2963,0.2911
0.062,6205.0,PUT,14.4,13.17,-1.23,0.2784,0.2728
0.062,6305.0,PUT,19.35,17.49,-1.86,0.263,0.2561
0.062,6405.0,PUT,24.25,23.71,-0.54,0.2417,0.2401
0.062,6505.0,PUT,35.6,32.69,-2.91,0.2314,0.2244
0.062,6605.0,PUT,46.1,45.57,-0.53,0.2098,0.2088
0.062,6705.0,PUT,65.45,63.97,-1.48,0.1954,0.1929
0.062,6805.0,PUT,94.35,90.16,-4.19,0.1827,0.1764
0.062,6905.0,CALL,97.7,93.01,-4.69,0.1667,0.1598
0.062,7005.0,CALL,48.0,46.8,-1.2,0.1469,0.1448
0.062,7105.0,CALL,17.75,19.98,2.23,0.1302,0.1355
0.062,7205.0,CALL,4.95,7.89,2.94,0.1195,0.1326
0.062,7310.0,CALL,1.35,2.94,1.59,0.1182,0.1339
0.071,6175.0,PUT,14.5,14.96,0.46,0.2724,0.2744
0.071,6725.0,PUT,75.35,74.88,-0.47,0.1897,0.189
0.071,6960.0,CALL,72.1,72.06,-0.04,0.151,0.1509
0.071,7275.0,CALL,2.48,5.54,3.06,0.1139,0.1325
0.073,6375.0,PUT,26.5,27.22,0.72,0.2406,0.2425
0.073,6840.0,PUT,110.25,109.89,-0.36,0.1705,0.17
0.073,7040.0,CALL,40.05,42.34,2.29,0.1368,0.1406
0.076,5900.0,PUT,8.45,9.07,0.62,0.3129,0.317
0.076,6725.0,PUT,77.85,78.89,1.04,0.1871,0.1886
0.076,6970.0,CALL,71.15,71.76,0.61,0.1485,0.1493
0.076,7375.0,CALL,1.15,2.93,1.78,0.1166,0.1345
0.079,6650.0,PUT,66.2,64.98,-1.22,0.2021,0.2002
0.079,7000.0,CALL,60.4,60.73,0.33,0.1447,0.1452
0.082,5400.0,PUT,4.45,4.25,-0.2,0.4017,0.399
0.082,6100.0,PUT,16.2,15.79,-0.41,0.2837,0.282
0.082,6440.0,PUT,38.2,37.38,-0.82,0.2332,0.2315
0.082,6610.0,PUT,59.45,59.74,0.29,0.2056,0.2061
0.082,6775.0,PUT,98.05,95.58,-2.47,0.1835,0.1802
0.082,6880.0,CALL,128.15,124.78,-3.37,0.1674,0.1631
0.082,6985.0,CALL,71.25,69.06,-2.19,0.1502,0.1472
0.082,7110.0,CALL,26.45,28.18,1.73,0.1314,0.1347
0.082,7300.0,CALL,3.7,6.33,2.63,0.1188,0.1321
0.09,6375.0,PUT,34.25,35.57,1.32,0.2367,0.2396
0.09,6875.0,CALL,133.5,134.58,1.08,0.1623,0.1636
0.093,6100.0,PUT,17.9,19.36,1.46,0.2732,0.2783
0.101,5550.0,PUT,8.05,7.59,-0.46,0.3586,0.3551
0.101,6200.0,PUT,26.8,27.52,0.72,0.2602,0.2622
0.101,6530.0,PUT,56.0,59.2,3.2,0.2109,0.2159
0.101,6700.0,PUT,90.45,89.64,-0.81,0.1917,0.1907
0.101,6870.0,CALL,148.7,146.3,-2.4,0.1669,0.1641
0.101,7030.0,CALL,63.5,62.86,-0.64,0.1423,0.1415
0.101,7200.0,CALL,17.0,19.96,2.96,0.1246,0.1309
0.109,6400.0,PUT,43.1,47.59,4.49,0.2251,0.2333
0.109,6900.0,CALL,133.2,133.91,0.71,0.1585,0.1593
0.119,5200.0,PUT,6.5,5.49,-1.01,0.4005,0.3903
0.119,5625.0,PUT,11.4,11.53,0.13,0.333,0.3337
0.119,5800.0,PUT,14.75,15.89,1.14,0.3059,0.3107
0.119,5970.0,PUT,20.85,21.96,1.11,0.285,0.2885
0.119,6130.0,PUT,29.6,30.13,0.53,0.2664,0.2677
0.119,6285.0,PUT,39.9,41.34,1.44,0.2445,0.2473
0.119,6385.0,PUT,50.55,50.92,0.37,0.2333,0.234
0.119,6490.0,PUT,62.85,63.62,0.77,0.2185,0.2196
0.119,6590.0,PUT,78.85,78.92,0.07,0.2054,0.2055
0.119,6690.0,PUT,96.75,98.33,1.58,0.1891,0.1909
0.119,6790.0,PUT,125.3,123.26,-2.04,0.1781,0.1758
0.119,6890.0,CALL,150.6,147.31,-3.29,0.1642,0.1607
0.119,6990.0,CALL,95.7,91.84,-3.86,0.1508,0.1466
0.119,7090.0,CALL,53.9,51.81,-2.09,0.1386,0.1359
0.119,7190.0,CALL,25.65,27.74,2.09,0.1272,0.1307
0.119,7330.0,CALL,8.5,11.62,3.12,0.1213,0.1305
0.119,7500.0,CALL,2.22,4.26,2.03,0.1216,0.1352
0.139,5850.0,PUT,21.4,22.31,0.91,0.2954,0.2983
0.139,6400.0,PUT,59.2,61.83,2.63,0.2257,0.2296
0.139,6700.0,PUT,112.2,111.35,-0.85,0.1892,0.1883
0.139,6875.0,CALL,173.95,170.42,-3.53,0.1662,0.1627
0.139,7050.0,CALL,80.45,76.76,-3.69,0.144,0.14
0.139,7350.0,CALL,10.35,14.03,3.68,0.1206,0.1299
0.15,5220.0,PUT,9.15,8.42,-0.73,0.3735,0.3684
0.15,5440.0,PUT,12.5,12.32,-0.18,0.3441,0.3432
0.15,5575.0,PUT,15.1,15.55,0.45,0.3257,0.3277
0.15,5700.0,PUT,18.25,19.3,1.05,0.3094,0.3131
0.15,5805.0,PUT,21.6,23.16,1.56,0.2961,0.3009
0.15,5940.0,PUT,27.1,29.32,2.22,0.2793,0.2849
0.15,6120.0,PUT,37.85,40.29,2.44,0.2585,0.2633
0.15,6230.0,PUT,45.45,49.04,3.59,0.2437,0.2499
0.15,6330.0,PUT,55.35,58.74,3.39,0.2322,0.2373
0.15,6430.0,PUT,67.7,70.47,2.77,0.2208,0.2245
0.15,6530.0,PUT,82.05,84.76,2.71,0.208,0.2112
0.15,6630.0,PUT,98.45,102.27,3.82,0.1934,0.1976
0.15,6730.0,PUT,122.9,123.99,1.09,0.1824,0.1835
0.15,6830.0,PUT,152.45,151.43,-1.02,0.1701,0.1691
0.15,6930.0,CALL,145.3,143.7,-1.6,0.1565,0.155
0.15,7030.0,CALL,92.65,91.41,-1.24,0.1437,0.1425
0.15,7130.0,CALL,53.95,54.02,0.07,0.1335,0.1336
0.15,7235.0,CALL,27.25,30.2,2.95,0.125,0.1295
0.15,7335.0,CALL,13.2,17.55,4.35,0.12,0.1293
0.15,7435.0,CALL,6.3,10.42,4.12,0.118,0.1313
0.15,7540.0,CALL,2.92,6.17,3.24,0.1181,0.1344
0.196,5175.0,PUT,14.1,12.37,-1.73,0.3637,0.3552
0.196,5675.0,PUT,25.85,27.79,1.94,0.3,0.3051
0.196,5870.0,PUT,34.15,37.65,3.5,0.2773,0.2846
0.196,6030.0,PUT,43.55,48.19,4.64,0.2592,0.2672
0.196,6200.0,PUT,58.75,62.6,3.85,0.2426,0.248
0.196,6370.0,PUT,73.3,81.41,8.11,0.2184,0.2281
0.196,6475.0,PUT,92.65,95.92,3.27,0.2118,0.2153
0.196,6575.0,PUT,107.3,112.39,5.09,0.1977,0.2027
0.196,6675.0,PUT,128.85,132.16,3.31,0.1868,0.1898
0.196,6775.0,PUT,154.05,156.24,2.19,0.1748,0.1766
0.196,6875.0,CALL,210.95,208.38,-2.57,0.1656,0.1634
0.196,6975.0,CALL,152.1,147.25,-4.85,0.1549,0.1508
0.196,7075.0,CALL,100.65,97.33,-3.32,0.1429,0.1399
0.196,7180.0,CALL,61.15,59.65,-1.5,0.1337,0.1322
0.196,7350.0,CALL,22.8,26.58,3.78,0.1226,0.1285
0.196,7550.0,CALL,6.4,11.02,4.62,0.1182,0.1321
0.232,5370.0,PUT,22.15,22.36,0.21,0.3269,0.3276
0.232,5590.0,PUT,29.1,31.12,2.02,0.302,0.3069
0.232,5840.0,PUT,40.65,44.73,4.08,0.2749,0.2823
0.232,6040.0,PUT,54.15,59.4,5.25,0.2541,0.2617
0.232,6225.0,PUT,71.4,77.03,5.63,0.235,0.2418
0.232,6390.0,PUT,91.3,97.18,5.88,0.2172,0.2233
0.232,6495.0,PUT,108.3,112.85,4.55,0.2067,0.2111
0.232,6605.0,PUT,127.6,132.33,4.73,0.1938,0.1979
0.232,6710.0,PUT,153.6,154.68,1.08,0.1841,0.185
0.232,6815.0,PUT,177.9,181.91,4.01,0.1688,0.1719
0.232,6940.0,CALL,192.9,190.48,-2.42,0.1585,0.1566
0.232,7040.0,CALL,139.15,134.29,-4.86,0.1492,0.1454
0.232,7165.0,CALL,83.65,80.62,-3.03,0.1373,0.1347
0.232,7300.0,CALL,44.0,44.64,0.64,0.1283,0.129
0.232,7425.0,CALL,22.2,26.27,4.07,0.1224,0.1285
0.232,7575.0,CALL,9.3,14.5,5.2,0.1189,0.1312
0.232,7900.0,CALL,1.7,4.54,2.84,0.1225,0.1413
0.273,5600.0,PUT,36.05,39.27,3.22,0.293,0.2994
0.273,5890.0,PUT,53.1,57.97,4.87,0.2651,0.2722
0.273,6060.0,PUT,66.8,72.41,5.61,0.2485,0.2555
0.273,6225.0,PUT,83.65,89.66,6.01,0.2322,0.2386
0.273,6390.0,PUT,105.95,111.03,5.08,0.2162,0.221
0.273,6550.0,PUT,133.75,137.0,3.25,0.2005,0.2032
0.273,6655.0,PUT,155.3,157.79,2.49,0.1893,0.1912
0.273,6760.0,PUT,181.1,182.54,1.44,0.1779,0.179
0.273,6870.0,CALL,309.0,258.89,-50.11,0.2016,0.1662
0.273,6990.0,CALL,190.45,183.69,-6.76,0.1575,0.1527
0.273,7090.0,CALL,137.8,130.9,-6.9,0.1478,0.1428
0.273,7260.0,CALL,71.0,67.54,-3.46,0.1344,0.1314
0.273,7425.0,CALL,33.55,35.08,1.53,0.1264,0.1283
0.273,7950.0,CALL,2.45,5.89,3.44,0.1227,0.1404
0.312,5825.0,PUT,55.85,62.0,6.15,0.2656,0.2741
0.312,6325.0,PUT,107.9,114.22,6.32,0.2202,0.2259
0.312,6650.0,PUT,168.3,170.64,2.34,0.1898,0.1915
0.312,6820.0,PUT,213.85,213.1,-0.75,0.1733,0.1728
0.312,6980.0,CALL,216.6,210.93,-5.67,0.1594,0.1556
0.312,7225.0,CALL,100.05,93.63,-6.42,0.1397,0.1349
0.312,8100.0,CALL,2.12,5.41,3.29,0.1245,0.1427
0.366,5600.0,PUT,52.5,56.53,4.03,0.2819,0.2878
0.366,6040.0,PUT,87.85,94.44,6.59,0.2434,0.25
0.366,6210.0,PUT,106.55,114.43,7.88,0.2275,0.2344
0.366,6375.0,PUT,135.3,137.81,2.51,0.2168,0.2188
0.366,6540.0,PUT,161.4,166.27,4.87,0.1991,0.2026
0.366,6710.0,PUT,201.2,202.84,1.64,0.1843,0.1854
0.366,6875.0,CALL,311.7,307.29,-4.41,0.1713,0.1686
0.366,7040.0,CALL,213.25,205.03,-8.22,0.1576,0.1526
0.366,7210.0,CALL,130.9,122.54,-8.36,0.1444,0.1388
0.366,7380.0,CALL,72.15,68.78,-3.37,0.1335,0.1308
0.366,7850.0,CALL,10.45,15.86,5.41,0.1223,0.1334
0.399,5450.0,PUT,49.05,52.2,3.15,0.2913,0.2962
0.399,5950.0,PUT,86.0,92.61,6.61,0.2491,0.2557
0.399,6160.0,PUT,110.75,116.54,5.79,0.2325,0.2374
