T,K,Market,Model,Err,IV_Mkt,IV_Model
0.041,5250.0,1662.82,1676.13,13.31,0.5126,0.7649
0.041,5610.0,1303.82,1310.97,7.15,0.4205,0.5526
0.041,5775.0,1139.47,1144.24,4.77,0.3812,0.4652
0.041,5940.0,975.35,977.89,2.54,0.3427,0.3839
0.041,6100.0,816.5,817.04,0.54,0.3049,0.3126
0.041,6210.0,707.61,706.99,-0.63,0.2792,0.2717
0.041,6310.0,609.72,607.86,-1.86,0.262,0.245
0.041,6405.0,516.41,514.4,-2.01,0.2375,0.2232
0.041,6505.0,420.37,418.13,-2.23,0.2186,0.2074
0.041,6605.0,328.12,324.79,-3.33,0.2046,0.1929
0.041,6700.0,243.11,241.03,-2.08,0.186,0.1805
0.041,6800.0,157.72,160.78,3.06,0.1609,0.1672
0.041,6900.0,86.22,92.66,6.44,0.1412,0.1528
0.041,6995.0,48.65,44.14,-4.51,0.1473,0.1386
0.041,7095.0,12.35,13.9,1.55,0.1191,0.1238
0.041,7195.0,1.92,3.47,1.54,0.1062,0.1186
0.049,5875.0,1042.93,1045.74,2.82,0.3382,0.3791
0.049,6375.0,550.09,548.61,-1.48,0.2352,0.2262
0.049,6725.0,227.13,229.18,2.04,0.1728,0.1772
0.049,6880.0,106.02,114.71,8.69,0.1412,0.1556
0.049,7050.0,29.1,30.94,1.84,0.1265,0.1302
0.052,5800.0,1118.96,1122.74,3.78,0.3529,0.4053
0.052,6350.0,576.48,574.85,-1.62,0.2394,0.2297
0.052,6720.0,235.04,236.42,1.38,0.1749,0.1778
0.052,6880.0,110.25,118.01,7.76,0.1432,0.1557
0.052,7040.0,35.45,36.61,1.16,0.1297,0.1319
0.055,5600.0,1319.34,1325.99,6.65,0.3922,0.4867
0.055,6325.0,603.16,601.15,-2.01,0.2446,0.2326
0.055,6730.0,230.59,231.6,1.01,0.1746,0.1766
0.055,6900.0,100.59,108.75,8.16,0.1402,0.153
0.055,7075.0,25.75,27.45,1.7,0.1236,0.127
0.057,5900.0,1023.35,1024.89,1.53,0.329,0.3466
0.057,6500.0,439.84,436.47,-3.37,0.2169,0.2055
0.057,6810.0,171.7,173.36,1.66,0.1632,0.166
0.057,6970.0,76.75,72.54,-4.21,0.1494,0.1429
0.057,7225.0,4.1,5.33,1.23,0.1102,0.1166
0.06,5325.0,1596.43,1607.49,11.05,0.4441,0.596
0.06,5480.0,1442.23,1450.41,8.18,0.4121,0.5206
0.06,5650.0,1273.29,1278.53,5.24,0.3775,0.443
0.06,5820.0,1104.59,1107.21,2.62,0.3427,0.3725
0.06,5975.0,951.24,951.71,0.47,0.312,0.3166
0.06,6130.0,798.59,797.15,-1.44,0.2818,0.2705
0.06,6230.0,700.86,698.33,-2.53,0.2636,0.2473
0.06,6325.0,608.92,605.69,-3.23,0.2471,0.2307
0.06,6425.0,513.4,509.67,-3.72,0.2299,0.2154
0.06,6525.0,420.07,416.35,-3.72,0.2136,0.2024
0.06,6620.0,334.24,331.02,-3.21,0.198,0.1904
0.06,6720.0,248.06,246.48,-1.58,0.1808,0.1778
0.06,6820.0,168.43,169.61,1.17,0.1628,0.1647
0.06,6915.0,101.3,106.28,4.98,0.1437,0.1511
0.06,7015.0,57.4,54.14,-3.26,0.1415,0.1363
0.06,7115.0,21.25,20.85,-0.4,0.1235,0.1226
0.06,7210.0,6.2,7.11,0.91,0.1129,0.1166
0.06,7320.0,1.4,2.21,0.81,0.1104,0.1187
0.068,6150.0,785.83,784.54,-1.29,0.2686,0.2602
0.068,6625.0,338.34,337.11,-1.23,0.1925,0.1899
0.068,6925.0,111.25,110.54,-0.71,0.1512,0.1502
0.068,7175.0,11.4,14.13,2.73,0.1108,0.1181
0.071,6250.0,691.74,689.32,-2.42,0.2518,0.2397
0.071,6775.0,216.88,218.12,1.24,0.1694,0.1713
0.071,6980.0,81.85,82.99,1.14,0.141,0.1426
0.074,5200.0,1731.54,1744.87,13.33,0.4418,0.6007
0.074,6550.0,413.47,410.69,-2.78,0.2058,0.1993
0.074,6920.0,116.89,120.76,3.87,0.1463,0.1515
0.074,7225.0,7.9,10.12,2.22,0.1089,0.1161
0.077,6450.0,509.34,505.61,-3.73,0.2219,0.2113
0.077,6900.0,135.52,137.17,1.64,0.1524,0.1546
0.077,7200.0,12.15,14.29,2.14,0.1117,0.1172
0.079,5825.0,1117.95,1119.19,1.24,0.3262,0.3363
0.079,6325.0,631.23,627.02,-4.21,0.2425,0.2274
0.079,6520.0,449.91,445.33,-4.57,0.2134,0.2027
0.079,6675.0,314.01,310.3,-3.71,0.1906,0.1842
0.079,6815.0,201.68,200.23,-1.45,0.1687,0.1667
0.079,6915.0,131.27,131.44,0.17,0.1526,0.1528
0.079,7010.0,75.55,77.49,1.94,0.1367,0.1393
0.079,7150.0,23.7,25.25,1.55,0.1182,0.1211
0.079,7425.0,1.35,2.52,1.17,0.1126,0.1239
0.088,6475.0,494.23,491.32,-2.91,0.2144,0.2075
0.088,6975.0,97.4,102.26,4.86,0.1384,0.1444
0.09,6475.0,496.25,492.98,-3.27,0.2148,0.2073
0.099,5650.0,1295.48,1298.65,3.16,0.3398,0.363
0.099,6250.0,711.43,707.48,-3.94,0.247,0.2343
0.099,6550.0,435.42,431.16,-4.27,0.2059,0.1981
0.099,6710.0,299.36,296.32,-3.04,0.1835,0.1792
