T,K,Market,Model,Err,IV_Mkt,IV_Model
0.099,6875.0,173.71,173.26,-0.45,0.1588,0.1583
0.099,7040.0,75.05,76.38,1.33,0.134,0.1356
0.099,7200.0,22.0,22.61,0.61,0.1169,0.118
0.107,6200.0,761.47,758.82,-2.65,0.2483,0.2397
0.107,6850.0,195.5,196.84,1.35,0.16,0.1616
0.107,7500.0,1.73,3.45,1.73,0.1123,0.1253
0.118,5610.0,1339.42,1342.43,3.01,0.3329,0.3515
0.118,5790.0,1162.81,1163.03,0.22,0.3056,0.3068
0.118,5950.0,1006.86,1005.13,-1.72,0.2822,0.2749
0.118,6120.0,843.75,839.86,-3.89,0.2608,0.2483
0.118,6275.0,696.47,692.45,-4.02,0.2385,0.2285
0.118,6370.0,608.44,604.21,-4.23,0.2263,0.2174
0.118,6470.0,517.88,513.64,-4.24,0.2137,0.2061
0.118,6570.0,431.06,426.05,-5.02,0.2025,0.1949
0.118,6665.0,350.73,346.39,-4.34,0.1898,0.184
0.118,6765.0,270.26,267.18,-3.08,0.1757,0.172
0.118,6865.0,196.1,194.35,-1.75,0.1614,0.1595
0.118,6960.0,133.55,132.73,-0.82,0.1478,0.1469
0.118,7060.0,78.7,79.15,0.45,0.1333,0.1338
0.118,7160.0,40.95,40.64,-0.31,0.1227,0.1223
0.118,7275.0,17.3,16.79,-0.51,0.1163,0.1153
0.118,7440.0,4.45,5.35,0.9,0.1138,0.1179
0.137,5300.0,1648.96,1657.13,8.17,0.37,0.421
0.137,6150.0,822.77,818.58,-4.19,0.2519,0.2412
0.137,6590.0,424.95,420.83,-4.12,0.1973,0.1918
0.137,6780.0,271.01,268.88,-2.13,0.1722,0.1699
0.137,6940.0,159.4,157.87,-1.53,0.1514,0.1499
0.137,7110.0,69.7,68.19,-1.51,0.1304,0.1288
0.137,7600.0,2.17,4.12,1.94,0.1166,0.1292
0.148,5350.0,1601.54,1608.46,6.92,0.355,0.3939
0.148,5530.0,1424.72,1428.22,3.5,0.3291,0.3466
0.148,5665.0,1292.66,1293.99,1.33,0.3103,0.3162
0.148,5765.0,1195.26,1195.17,-0.09,0.2967,0.2964
0.148,5875.0,1088.76,1087.38,-1.37,0.2825,0.2777
0.148,6040.0,930.51,927.66,-2.85,0.2617,0.2538
0.148,6180.0,798.43,794.62,-3.8,0.2449,0.2363
0.148,6280.0,705.42,701.52,-3.91,0.2326,0.225
0.148,6380.0,614.32,610.31,-4.01,0.2208,0.2141
0.148,6480.0,525.12,521.55,-3.56,0.2085,0.2033
0.148,6575.0,442.89,439.9,-2.98,0.1968,0.193
0.148,6675.0,359.58,357.57,-2.01,0.1842,0.1819
0.148,6775.0,280.53,279.71,-0.82,0.1712,0.1703
0.148,6870.0,211.05,211.21,0.16,0.1588,0.1589
0.148,6970.0,145.7,146.43,0.73,0.1457,0.1464
0.148,7070.0,91.55,92.12,0.57,0.1335,0.1341
0.148,7165.0,53.3,53.16,-0.14,0.1239,0.1238
0.148,7265.0,27.6,27.35,-0.25,0.1172,0.1168
0.148,7365.0,13.25,13.98,0.73,0.1131,0.1147
0.148,7460.0,6.5,8.0,1.5,0.1119,0.1168
0.148,7580.0,2.83,4.98,2.15,0.1137,0.1252
0.148,7820.0,1.07,4.29,3.21,0.129,0.157
0.194,5650.0,1323.46,1323.89,0.43,0.2998,0.3012
0.194,5860.0,1121.32,1119.81,-1.51,0.2739,0.2701
0.194,6025.0,965.4,962.36,-3.04,0.2559,0.2496
0.194,6180.0,820.61,817.57,-3.04,0.2377,0.2325
0.194,6350.0,666.88,663.37,-3.51,0.2197,0.2149
0.194,6465.0,565.71,562.56,-3.15,0.207,0.2033
0.194,6560.0,483.59,481.9,-1.68,0.1953,0.1935
0.194,6660.0,401.05,400.21,-0.85,0.1838,0.183
0.194,6760.0,323.57,322.44,-1.13,0.1732,0.1722
0.194,6855.0,252.6,253.18,0.57,0.1611,0.1616
0.194,6955.0,188.55,186.45,-2.1,0.1519,0.1502
0.194,7055.0,129.5,128.09,-1.41,0.14,0.1389
0.194,7150.0,85.0,82.9,-2.1,0.1308,0.1289
0.194,7310.0,35.5,34.3,-1.2,0.119,0.1175
0.194,7475.0,13.1,13.85,0.75,0.1145,0.1161
0.23,5200.0,1772.46,1780.3,7.84,0.3458,0.3749
0.23,5530.0,1452.0,1453.91,1.91,0.306,0.3115
0.23,5780.0,1212.37,1211.18,-1.19,0.2779,0.2753
0.23,5980.0,1023.81,1020.99,-2.82,0.2566,0.2515
0.23,6150.0,866.55,863.11,-3.44,0.2386,0.2335
0.23,6330.0,704.47,700.91,-3.56,0.22,0.2156
0.23,6455.0,595.43,592.1,-3.32,0.2069,0.2034
0.23,6560.0,506.66,503.77,-2.89,0.1958,0.193
0.23,6665.0,421.4,418.82,-2.58,0.1847,0.1825
0.23,6765.0,344.1,341.79,-2.31,0.1741,0.1722
0.23,6875.0,264.78,262.48,-2.3,0.1623,0.1605
0.23,6980.0,196.45,193.65,-2.8,0.1514,0.1493
0.23,7080.0,139.85,136.29,-3.56,0.1414,0.1387
0.23,7210.0,81.85,77.63,-4.22,0.1302,0.1265
0.23,7335.0,44.3,41.24,-3.06,0.1221,0.1188
0.23,7455.0,23.05,22.37,-0.68,0.1174,0.1163
0.23,7615.0,9.15,11.32,2.17,0.1147,0.12
0.271,5275.0,1710.12,1716.07,5.95,0.3264,0.3437
0.271,5750.0,1255.19,1254.41,-0.79,0.2753,0.2737
0.271,5940.0,1077.73,1074.95,-2.78,0.2569,0.2525
0.271,6110.0,921.57,917.95,-3.62,0.2401,0.2353
0.271,6270.0,777.61,774.08,-3.52,0.2239,0.2199
0.271,6430.0,639.1,635.0,-4.1,0.2089,0.2049
0.271,6575.0,517.99,514.18,-3.8,0.1945,0.1912
0.271,6675.0,437.28,434.47,-2.81,0.1838,0.1816
0.271,6780.0,357.32,354.73,-2.6,0.1733,0.1713
0.271,6890.0,279.42,276.53,-2.89,0.1624,0.1604
0.271,6990.0,216.7,211.49,-5.21,0.154,0.1503
0.271,7090.0,159.0,153.83,-5.17,0.1442,0.1405
0.271,7260.0,85.05,78.34,-6.71,0.1315,0.126
0.271,7425.0,39.75,36.5,-3.25,0.1219,0.1183
0.271,7875.0,4.05,8.66,4.61,0.1171,0.1337
0.309,5775.0,1245.27,1244.36,-0.9,0.2686,0.2671
0.309,6275.0,791.27,787.77,-3.49,0.2219,0.2184
0.309,6625.0,498.12,494.79,-3.33,0.1891,0.1866
0.309,6790.0,372.44,369.09,-3.34,0.1736,0.1713
0.309,6960.0,256.4,252.14,-4.26,0.158,0.1552
0.309,7125.0,162.0,156.09,-5.91,0.1439,0.1399
0.309,7700.0,14.55,16.58,2.03,0.1176,0.1213
0.364,5550.0,1474.89,1476.32,1.43,0.2851,0.2875
0.364,6020.0,1041.76,1038.89,-2.87,0.243,0.2398
0.364,6180.0,899.68,895.99,-3.69,0.2291,0.2255
0.364,6350.0,752.98,748.73,-4.25,0.2144,0.2108
0.364,6510.0,619.75,615.45,-4.3,0.2003,0.197
0.364,6675.0,488.73,484.86,-3.87,0.1854,0.1828
0.364,6840.0,367.51,363.32,-4.2,0.171,0.1684
0.364,7000.0,262.0,257.06,-4.94,0.1573,0.1544
0.364,7170.0,168.2,161.54,-6.66,0.1441,0.14
0.364,7330.0,100.95,93.84,-7.11,0.1336,0.1287
0.364,7675.0,25.9,26.03,0.13,0.1206,0.1208
0.397,5300.0,1720.08,1726.04,5.96,0.3036,0.3147
0.397,5800.0,1253.37,1252.8,-0.57,0.2595,0.2588
0.397,6100.0,983.69,980.77,-2.92,0.2345,0.2317
0.397,6275.0,831.8,827.92,-3.88,0.2201,0.2168
0.397,6440.0,693.13,688.88,-4.24,0.2062,0.203
0.397,6555.0,599.88,595.54,-4.35,0.1964,0.1934
0.397,6665.0,513.82,509.53,-4.28,0.187,0.1842
0.397,6775.0,431.7,427.35,-4.35,0.1777,0.175
0.397,6870.0,364.41,360.04,-4.38,0.1696,0.167
0.397,6970.0,296.3,293.57,-2.73,0.1602,0.1586
0.397,7075.0,233.25,229.64,-3.61,0.152,0.1499
0.397,7230.0,154.25,149.06,-5.19,0.141,0.1378
0.397,7650.0,35.0,34.48,-0.52,0.1219,0.1213
0.444,5400.0,1638.86,1643.72,4.86,0.2899,0.2973
0.444,5875.0,1202.21,1201.26,-0.95,0.2509,0.2499
0.444,6200.0,916.41,912.93,-3.48,0.2253,0.2224
0.444,6390.0,756.0,752.05,-3.95,0.2099,0.2071
0.444,6550.0,626.41,622.33,-4.08,0.197,0.1943
0.444,6720.0,495.38,491.76,-3.62,0.1829,0.1808
0.444,6880.0,381.29,377.6,-3.69,0.17,0.168
0.444,7070.0,261.3,256.64,-4.66,0.1555,0.153
0.444,7230.0,177.35,171.33,-6.02,0.1445,0.1411
0.444,7475.0,85.4,79.76,-5.64,0.131,0.1271
0.444,8000.0,12.25,18.14,5.89,0.1196,0.13
0.539,5550.0,1529.18,1532.62,3.44,0.2717,0.2756
0.539,6050.0,1085.23,1082.35,-2.87,0.2355,0.2332
0.539,6525.0,693.09,687.28,-5.81,0.201,0.1975
0.539,7025.0,336.75,332.12,-4.63,0.1636,0.1613
0.539,7525.0,104.6,99.26,-5.34,0.1345,0.1313
0.539,8200.0,11.9,20.24,8.34,0.1217,0.1358
0.616,5575.0,1529.34,1533.61,4.27,0.266,0.2702
0.616,6075.0,1092.57,1090.14,-2.43,0.2323,0.2306
0.616,6550.0,708.26,702.25,-6.01,0.2002,0.197
0.616,7050.0,357.45,353.86,-3.59,0.1648,0.1631
0.616,7550.0,122.65,118.87,-3.78,0.137,0.1349
0.616,8300.0,13.6,23.4,9.8,0.1229,0.1377
0.649,5675.0,1450.44,1453.41,2.97,0.2582,0.2608
0.649,6175.0,1021.61,1018.11,-3.51,0.2255,0.2233
0.649,6370.0,863.39,858.04,-5.35,0.2128,0.2098
0.649,6470.0,784.63,778.68,-5.96,0.2062,0.2029
0.649,6570.0,707.58,701.43,-6.15,0.1994,0.1962
0.649,6670.0,630.13,626.56,-3.57,0.1913,0.1895
0.649,6765.0,563.96,557.88,-6.08,0.1861,0.1832
0.649,6870.0,490.82,485.11,-5.7,0.1789,0.1762
0.649,6985.0,412.5,409.72,-2.78,0.17,0.1688
0.649,7085.0,351.0,348.35,-2.65,0.1636,0.1624
0.649,7185.0,294.05,291.44,-2.61,0.1574,0.1562
0.649,7285.0,242.0,239.56,-2.44,0.1514,0.1502
0.649,7500.0,150.45,147.83,-2.62,0.1403,0.139
0.693,5350.0,1754.13,1762.88,8.75,0.2783,0.2873
0.693,5850.0,1311.73,1312.68,0.94,0.2458,0.2464
0.693,6325.0,916.78,912.18,-4.59,0.2157,0.2132
0.693,6825.0,540.88,535.94,-4.93,0.1828,0.1806
0.693,7325.0,242.15,239.49,-2.66,0.1516,0.1504
0.693,7800.0,80.5,80.1,-0.4,0.132,0.1318
0.789,5375.0,1757.23,1766.75,9.52,0.2731,0.2816
0.789,5875.0,1322.29,1323.52,1.22,0.2429,0.2437
0.789,6350.0,935.27,930.35,-4.92,0.215,0.2124
0.789,6850.0,567.09,561.66,-5.42,0.1843,0.182
0.789,7350.0,270.25,268.67,-1.58,0.1547,0.1541
0.789,7825.0,100.3,100.79,0.49,0.1354,0.1356
0.865,5400.0,1755.52,1766.81,11.29,0.2684,0.2775
0.865,5900.0,1326.37,1329.14,2.77,0.2399,0.2416
0.865,6375.0,944.87,941.82,-3.05,0.2133,0.2118
0.865,6875.0,582.57,579.19,-3.38,0.1843,0.1829
0.865,7375.0,287.75,289.59,1.84,0.1559,0.1566
0.865,7850.0,114.1,117.2,3.1,0.137,0.1386
0.901,5550.0,1633.94,1644.02,10.09,0.2582,0.2655
0.901,5930.0,1312.42,1316.35,3.93,0.2373,0.2395
0.901,6105.0,1169.62,1171.22,1.6,0.2277,0.2285
0.901,6300.0,1015.29,1014.68,-0.61,0.217,0.2167
0.901,6445.0,905.51,902.36,-3.15,0.2096,0.2082
0.901,6595.0,792.18,790.36,-1.81,0.2004,0.1996
0.901,6725.0,699.03,697.22,-1.81,0.193,0.1923
0.901,6850.0,612.27,611.53,-0.74,0.1857,0.1854
0.901,6960.0,537.65,539.63,1.98,0.1786,0.1794
0.901,7095.0,453.9,456.44,2.54,0.1713,0.1722
0.901,7210.0,386.85,390.47,3.62,0.1649,0.1663
0.901,7315.0,329.9,334.62,4.72,0.1593,0.1611
0.901,7475.0,253.05,258.45,5.4,0.1515,0.1537
0.901,7680.0,172.7,178.4,5.7,0.143,0.1454
0.901,7910.0,107.8,113.42,5.62,0.136,0.1388
0.901,8090.0,72.5,79.56,7.06,0.132,0.1363
0.942,5200.0,1951.64,1969.49,17.85,0.2766,0.2917
0.942,5675.0,1537.96,1547.89,9.93,0.2497,0.2562
0.942,6175.0,1126.78,1129.9,3.12,0.223,0.2245
0.942,6675.0,748.95,750.03,1.08,0.1956,0.196
0.942,7150.0,439.3,442.35,3.05,0.1698,0.171
0.942,7650.0,197.7,204.06,6.36,0.1459,0.1485
0.942,8600.0,26.4,40.97,14.57,0.1281,0.1422
1.038,5875.0,1400.59,1410.0,9.41,0.2378,0.2429
1.038,6600.0,839.32,843.51,4.19,0.2004,0.2021
1.038,7250.0,418.25,427.77,9.52,0.1664,0.1698
1.038,7950.0,132.15,143.7,11.55,0.1386,0.1438
1.114,5550.0,1692.49,1708.36,15.87,0.2532,0.2629
1.114,6075.0,1263.19,1271.61,8.41,0.2273,0.2313
1.114,6550.0,903.15,908.82,5.67,0.2038,0.206
1.114,7050.0,563.8,574.44,10.64,0.1779,0.1816
1.114,7550.0,295.25,310.29,15.04,0.1547,0.16
1.114,8600.0,43.05,60.57,17.52,0.1298,0.1424
