T,K,Market,Model,Err,IV_Mkt,IV_Model
0.041,6600.0,18.15,15.88,-2.27,0.205,0.1969
0.041,6700.0,28.3,26.41,-1.89,0.1858,0.1808
0.041,6805.0,43.4,46.55,3.15,0.1594,0.1658
0.041,6900.0,70.55,76.12,5.57,0.1412,0.1512
0.041,7015.0,37.8,36.14,-1.66,0.137,0.1336
0.041,7125.0,7.45,8.29,0.84,0.1132,0.1165
0.049,6710.0,32.55,34.08,1.53,0.1759,0.1794
0.049,6880.0,67.7,75.82,8.12,0.1413,0.1548
0.049,7075.0,21.65,23.1,1.45,0.1212,0.1244
0.052,6000.0,3.7,6.53,2.83,0.3106,0.3412
0.052,6400.0,10.6,10.36,-0.24,0.2311,0.2299
0.052,6770.0,44.7,47.67,2.97,0.1658,0.1715
0.052,6950.0,80.75,77.53,-3.22,0.1499,0.1447
0.052,7175.0,5.4,6.63,1.23,0.1074,0.1127
0.055,6200.0,6.55,7.28,0.73,0.2684,0.2738
0.055,6725.0,39.5,40.56,1.06,0.1754,0.1775
0.055,6900.0,79.85,87.15,7.3,0.141,0.1523
0.055,7080.0,24.65,25.68,1.03,0.1222,0.1244
0.057,6100.0,5.95,6.78,0.83,0.289,0.2959
0.057,6550.0,22.55,20.62,-1.93,0.2086,0.2029
0.057,6820.0,62.1,63.83,1.73,0.1619,0.1647
0.057,6975.0,74.75,70.81,-3.94,0.1476,0.1416
0.06,5270.0,1.6,14.42,12.82,0.4555,0.6302
0.06,5440.0,2.08,11.82,9.74,0.4211,0.5476
0.06,5580.0,2.6,9.88,7.28,0.393,0.4829
0.06,5725.0,3.25,8.32,5.07,0.3629,0.4213
0.06,5870.0,4.2,7.43,3.23,0.3339,0.3669
0.06,6000.0,5.35,7.26,1.91,0.3077,0.3245
0.06,6130.0,7.15,7.39,0.24,0.283,0.2848
0.06,6215.0,8.7,8.39,-0.31,0.2665,0.2646
0.06,6300.0,11.0,9.64,-1.36,0.2515,0.2445
0.06,6385.0,14.1,12.47,-1.63,0.2367,0.2298
0.06,6470.0,18.45,16.14,-2.31,0.2222,0.2143
0.06,6580.0,27.05,24.74,-2.31,0.2046,0.1986
0.06,6675.0,38.0,35.93,-2.07,0.1889,0.1846
0.06,6760.0,51.9,51.26,-0.64,0.1743,0.1732
0.06,6850.0,72.3,74.19,1.89,0.1576,0.1605
0.06,6965.0,84.5,79.15,-5.35,0.1513,0.1434
0.06,7060.0,38.8,36.7,-2.1,0.1321,0.1285
0.06,7145.0,14.9,13.91,-0.99,0.1186,0.116
0.06,7280.0,2.33,2.74,0.41,0.1091,0.1123
0.068,6050.0,6.65,8.17,1.52,0.2867,0.2978
0.068,6550.0,26.5,25.75,-0.75,0.2042,0.2023
0.068,6890.0,86.85,91.89,5.04,0.1484,0.1555
0.068,7050.0,45.65,48.36,2.71,0.1273,0.1315
0.071,6150.0,9.0,9.37,0.37,0.2684,0.2706
0.071,6800.0,65.25,67.22,1.97,0.1659,0.1688
0.071,6980.0,82.35,84.53,2.18,0.1397,0.1427
0.074,5700.0,4.15,9.39,5.24,0.3488,0.3988
0.074,6625.0,37.85,36.78,-1.07,0.1947,0.1926
0.074,6975.0,88.15,90.72,2.57,0.1404,0.1438
0.077,5600.0,3.9,10.36,6.46,0.3664,0.4291
0.077,6750.0,59.65,58.64,-1.01,0.1775,0.1759
0.077,7050.0,53.75,57.1,3.35,0.1283,0.133
0.079,5600.0,4.35,10.48,6.13,0.3665,0.4232
0.079,6125.0,11.05,10.37,-0.68,0.2743,0.2708
0.079,6425.0,23.6,20.83,-2.77,0.2281,0.2202
0.079,6575.0,36.4,33.25,-3.15,0.2059,0.1993
0.079,6750.0,62.35,60.0,-2.35,0.1798,0.1762
0.079,6875.0,92.25,92.23,-0.02,0.1595,0.1595
0.079,7010.0,76.45,79.31,2.86,0.1359,0.1396
0.079,7140.0,26.45,27.36,0.91,0.1184,0.1201
0.079,7400.0,1.68,2.29,0.61,0.1105,0.116
0.088,6500.0,31.1,29.79,-1.31,0.2113,0.2083
0.088,7050.0,60.25,66.02,5.77,0.1266,0.1341
0.09,7175.0,21.9,23.58,1.68,0.1135,0.1166
0.099,5875.0,9.45,11.1,1.65,0.3027,0.3121
0.099,6300.0,22.95,20.59,-2.36,0.2407,0.2339
0.099,6560.0,44.15,41.35,-2.8,0.2049,0.1999
0.099,6710.0,66.1,64.25,-1.85,0.1839,0.1813
0.099,6900.0,112.2,112.98,0.78,0.1555,0.1564
0.099,7090.0,54.05,55.74,1.69,0.1268,0.129
0.099,7425.0,2.75,3.14,0.39,0.1114,0.1139
0.107,6525.0,42.25,41.33,-0.92,0.2054,0.2038
0.107,7175.0,29.4,30.85,1.45,0.1159,0.1181
0.118,5675.0,9.45,12.67,3.22,0.3246,0.3427
0.118,5880.0,13.05,13.64,0.59,0.2942,0.2968
0.118,6050.0,17.75,16.62,-1.13,0.2704,0.2664
0.118,6190.0,22.95,21.2,-1.75,0.2502,0.2452
0.118,6305.0,30.1,27.19,-2.91,0.2368,0.23
0.118,6405.0,37.75,34.45,-3.3,0.2241,0.2176
0.118,6515.0,48.6,45.35,-3.25,0.2098,0.2044
0.118,6620.0,62.4,59.54,-2.86,0.1961,0.192
0.118,6745.0,83.0,82.59,-0.41,0.1773,0.1768
0.118,6865.0,113.9,113.57,-0.33,0.162,0.1617
0.118,6955.0,137.75,139.06,1.31,0.148,0.1494
0.118,7045.0,87.8,88.54,0.74,0.1359,0.1367
0.118,7165.0,39.95,38.86,-1.09,0.1218,0.1203
0.118,7390.0,6.7,5.73,-0.97,0.113,0.1094
0.118,7540.0,2.15,3.28,1.13,0.116,0.1241
0.137,5950.0,18.5,17.86,-0.64,0.2774,0.2753
0.137,6525.0,57.6,55.35,-2.25,0.2055,0.2023
0.137,6730.0,90.25,89.98,-0.27,0.1789,0.1786
0.137,6890.0,130.3,132.16,1.86,0.1569,0.1588
0.137,7030.0,107.75,108.4,0.65,0.1393,0.14
0.137,7350.0,13.2,10.95,-2.25,0.1141,0.1088
0.148,5275.0,7.95,17.06,9.11,0.3662,0.419
0.148,5470.0,10.05,15.53,5.48,0.3377,0.3659
0.148,5575.0,11.5,15.38,3.88,0.3228,0.3411
0.148,5685.0,13.4,15.77,2.37,0.3076,0.3177
0.148,5775.0,15.45,16.58,1.13,0.2961,0.3004
0.148,5870.0,17.7,18.13,0.43,0.2828,0.2843
0.148,6000.0,22.1,21.38,-0.72,0.2665,0.2645
0.148,6160.0,29.55,28.05,-1.5,0.2469,0.2435
0.148,6310.0,39.6,37.85,-1.75,0.2291,0.2259
0.148,6425.0,49.9,48.33,-1.57,0.2154,0.2129
0.148,6545.0,63.8,63.01,-0.79,0.2006,0.1996
0.148,6630.0,76.3,76.31,0.01,0.19,0.19
0.148,6750.0,98.85,100.2,1.35,0.1747,0.1761
0.148,6840.0,119.5,123.08,3.58,0.1617,0.1652
0.148,6925.0,174.95,178.21,3.26,0.1514,0.1545
0.148,7010.0,123.25,126.19,2.94,0.1405,0.1432
0.148,7120.0,70.35,70.93,0.58,0.1281,0.1287
0.148,7220.0,37.9,35.75,-2.15,0.1198,0.117
0.148,7315.0,19.3,17.0,-2.3,0.1144,0.1102
0.148,7430.0,8.15,7.43,-0.72,0.1117,0.1095
0.148,7520.0,4.25,4.86,0.61,0.1121,0.1149
0.194,5250.0,12.4,20.15,7.75,0.3511,0.3847
0.194,5725.0,21.9,22.57,0.67,0.2905,0.2924
0.194,5880.0,27.0,26.7,-0.3,0.2716,0.2709
0.194,6050.0,35.4,34.06,-1.34,0.253,0.2504
0.194,6225.0,47.05,45.67,-1.38,0.2336,0.2314
0.194,6425.0,66.05,65.71,-0.34,0.2113,0.2109
0.194,6530.0,79.5,80.09,0.59,0.1995,0.2002
0.194,6625.0,93.5,95.86,2.36,0.1878,0.1902
0.194,6720.0,111.45,114.99,3.54,0.1768,0.1801
0.194,6805.0,131.2,135.36,4.16,0.167,0.1706
0.194,6890.0,154.8,159.58,4.78,0.1569,0.1609
0.194,6975.0,177.3,178.58,1.28,0.1497,0.1508
0.194,7060.0,127.85,128.87,1.02,0.1396,0.1404
0.194,7155.0,84.5,82.25,-2.25,0.1311,0.1291
0.194,7320.0,33.8,29.85,-3.95,0.1185,0.1134
0.194,7750.0,2.42,5.14,2.71,0.1155,0.1303
0.23,5450.0,19.95,23.33,3.38,0.3154,0.3259
0.23,5650.0,25.35,26.26,0.91,0.2922,0.2945
0.23,5870.0,34.0,33.16,-0.84,0.2681,0.2664
0.23,6050.0,43.95,42.59,-1.36,0.2491,0.2468
0.23,6300.0,64.25,63.37,-0.88,0.2231,0.222
0.23,6450.0,81.45,81.53,0.08,0.2074,0.2075
0.23,6550.0,95.95,96.72,0.77,0.197,0.1977
0.23,6650.0,112.5,114.84,2.34,0.1857,0.1877
0.23,6740.0,131.0,134.2,3.2,0.1759,0.1785
0.23,6825.0,152.8,155.58,2.78,0.1673,0.1695
0.23,6915.0,178.5,182.2,3.7,0.1569,0.1597
0.23,7005.0,182.4,183.53,1.13,0.1487,0.1496
0.23,7100.0,130.4,129.56,-0.84,0.1394,0.1388
0.23,7225.0,77.0,72.66,-4.34,0.129,0.1252
0.23,7400.0,31.45,26.23,-5.22,0.119,0.1122
0.23,7610.0,9.5,9.04,-0.46,0.1146,0.1134
0.271,5250.0,20.65,26.43,5.78,0.3299,0.3472
0.271,5820.0,39.6,38.89,-0.71,0.2681,0.2668
0.271,6000.0,50.2,49.0,-1.2,0.2502,0.2484
0.271,6150.0,62.25,60.64,-1.61,0.2361,0.2341
0.271,6330.0,79.9,79.44,-0.46,0.2181,0.2176
0.271,6565.0,113.0,114.28,1.28,0.1949,0.196
0.271,6655.0,128.6,131.56,2.96,0.185,0.1874
0.271,6745.0,148.0,151.57,3.57,0.176,0.1787
0.271,6835.0,172.1,174.78,2.68,0.1678,0.1697
0.271,6925.0,259.15,259.42,0.27,0.1603,0.1605
0.271,7010.0,204.9,205.05,0.15,0.1515,0.1516
0.271,7100.0,155.7,152.97,-2.73,0.144,0.142
0.271,7240.0,93.0,86.54,-6.46,0.1329,0.1278
0.271,7420.0,41.65,34.03,-7.62,0.1227,0.1143
0.309,5300.0,25.95,30.62,4.67,0.316,0.3276
0.309,5900.0,52.0,50.82,-1.18,0.2568,0.255
0.309,6425.0,104.0,104.18,0.18,0.2081,0.2082
0.309,6660.0,144.45,146.42,1.97,0.1858,0.1873
0.309,6800.0,175.9,179.71,3.81,0.1717,0.1743
0.309,6940.0,271.3,271.9,0.6,0.1604,0.1608
0.309,7080.0,187.25,185.62,-1.63,0.148,0.1469
0.309,7500.0,37.6,30.63,-6.97,0.1217,0.1139
0.364,5425.0,37.2,39.46,2.26,0.296,0.3002
0.364,5900.0,64.1,62.06,-2.04,0.2538,0.2513
0.364,6210.0,92.6,91.17,-1.43,0.2265,0.2251
0.364,6390.0,115.75,115.32,-0.43,0.2108,0.2104
0.364,6530.0,137.3,138.78,1.48,0.1978,0.1989
0.364,6675.0,166.65,168.33,1.68,0.1855,0.1867
0.364,6810.0,199.6,201.71,2.11,0.1736,0.175
0.364,6950.0,295.35,296.13,0.78,0.162,0.1625
0.364,7090.0,210.7,209.91,-0.79,0.1502,0.1497
0.364,7230.0,141.2,136.62,-4.58,0.14,0.137
0.364,7380.0,85.1,76.87,-8.23,0.1309,0.1249
0.397,5200.0,33.1,38.86,5.76,0.3129,0.3246
0.397,5625.0,51.45,51.6,0.15,0.2744,0.2746
0.397,6080.0,89.95,84.9,-5.05,0.2396,0.2346
0.397,6230.0,103.3,102.04,-1.26,0.2238,0.2227
0.397,6375.0,122.8,122.34,-0.46,0.2116,0.2112
0.397,6495.0,141.1,142.36,1.26,0.2008,0.2017
0.397,6590.0,159.35,160.61,1.26,0.1933,0.1941
0.397,6680.0,178.3,180.13,1.83,0.1856,0.1868
0.397,6775.0,200.0,203.4,3.4,0.1768,0.1789
0.397,6860.0,224.9,226.88,1.98,0.1706,0.1717
0.397,6945.0,313.45,317.29,3.84,0.1622,0.1644
