T,K,Market,Model,Err,IV_Mkt,IV_Model
0.397,7035.0,257.45,260.2,2.75,0.155,0.1566
0.397,7140.0,198.95,199.29,0.34,0.1472,0.1474
0.397,7300.0,125.4,121.2,-4.2,0.1366,0.1339
0.397,8000.0,8.25,11.69,3.44,0.1179,0.126
0.444,5575.0,55.9,56.51,0.61,0.275,0.2758
0.444,6175.0,108.05,106.6,-1.45,0.2271,0.2259
0.444,6330.0,128.1,127.98,-0.12,0.2143,0.2142
0.444,6475.0,151.1,152.14,1.04,0.2026,0.2033
0.444,6620.0,179.35,181.07,1.72,0.1911,0.1922
0.444,6760.0,211.55,214.37,2.82,0.1797,0.1813
0.444,6900.0,250.7,254.07,3.37,0.1683,0.1701
0.444,7070.0,262.5,263.63,1.13,0.1557,0.1563
0.444,7200.0,192.5,191.09,-1.41,0.1464,0.1456
0.444,7340.0,130.9,125.7,-5.2,0.1378,0.1346
0.444,7775.0,29.1,24.95,-4.15,0.1217,0.1167
0.539,5725.0,82.8,81.55,-1.25,0.2586,0.2574
0.539,6200.0,134.6,132.26,-2.34,0.2242,0.2226
0.539,6625.0,209.95,209.65,-0.3,0.1933,0.1932
0.539,7025.0,337.8,339.66,1.86,0.1637,0.1646
0.539,7450.0,129.7,123.57,-6.13,0.138,0.1346
0.539,8200.0,11.75,16.19,4.44,0.1213,0.1293
0.616,5550.0,80.95,81.32,0.37,0.2678,0.2682
0.616,6000.0,125.5,122.43,-3.07,0.2374,0.2351
0.616,6425.0,190.45,187.62,-2.83,0.2088,0.2072
0.616,6825.0,280.4,282.53,2.13,0.1802,0.1812
0.616,7250.0,246.6,248.11,1.51,0.1522,0.1529
0.616,7725.0,76.8,69.77,-7.03,0.1308,0.1262
0.649,5550.0,85.95,86.21,0.26,0.2666,0.2669
0.649,6025.0,134.85,131.95,-2.9,0.2349,0.2329
0.649,6330.0,179.95,177.87,-2.08,0.2146,0.2133
0.649,6410.0,198.75,192.58,-6.17,0.2118,0.2083
0.649,6495.0,212.1,209.6,-2.5,0.2043,0.203
0.649,6580.0,229.3,228.15,-1.15,0.1982,0.1976
0.649,6665.0,247.65,248.36,0.71,0.1919,0.1923
0.649,6750.0,269.6,270.37,0.77,0.1865,0.1869
0.649,6835.0,293.6,294.35,0.75,0.1811,0.1815
0.649,6925.0,453.85,456.2,2.35,0.1746,0.1757
0.649,7025.0,388.35,392.45,4.1,0.1674,0.1692
0.649,7110.0,337.15,341.16,4.01,0.1619,0.1637
0.649,7195.0,290.25,292.83,2.58,0.1571,0.1582
0.649,7280.0,245.35,247.79,2.44,0.1516,0.1528
0.649,7400.0,190.15,190.5,0.35,0.1451,0.1453
0.693,5250.0,70.4,74.96,4.56,0.2853,0.2903
0.693,5800.0,116.7,114.39,-2.31,0.2489,0.2472
0.693,6225.0,172.95,169.71,-3.24,0.2217,0.2198
0.693,6650.0,257.1,255.73,-1.37,0.1946,0.1939
0.693,7075.0,380.3,382.32,2.02,0.1669,0.1678
0.693,7475.0,178.0,176.87,-1.13,0.1441,0.1436
0.693,8400.0,15.4,21.24,5.84,0.1242,0.1327
0.789,5575.0,109.1,108.68,-0.42,0.2608,0.2605
0.789,6000.0,159.55,155.02,-4.53,0.2357,0.2329
0.789,6425.0,231.1,227.19,-3.91,0.2101,0.2081
0.789,6850.0,333.6,334.52,0.92,0.1838,0.1842
0.789,7250.0,322.7,326.02,3.32,0.1602,0.1615
0.789,7675.0,141.5,139.64,-1.86,0.14,0.1391
0.865,5275.0,92.0,97.17,5.17,0.2759,0.2805
0.865,5725.0,135.7,134.49,-1.21,0.2497,0.2488
0.865,6150.0,196.1,191.77,-4.33,0.2261,0.2237
0.865,6550.0,273.6,271.53,-2.07,0.2029,0.202
0.865,6975.0,516.5,520.89,4.39,0.1777,0.1794
0.865,7400.0,276.6,282.91,6.31,0.1545,0.157
0.865,7825.0,120.9,120.18,-0.72,0.1376,0.1373
0.901,5700.0,136.35,137.23,0.88,0.2493,0.2499
0.901,5930.0,167.15,165.06,-2.09,0.2373,0.236
0.901,6090.0,193.9,188.59,-5.31,0.2298,0.227
0.901,6210.0,211.9,208.73,-3.17,0.222,0.2204
0.901,6390.0,248.15,243.39,-4.76,0.213,0.2108
0.901,6510.0,272.05,269.74,-2.31,0.2055,0.2045
0.901,6630.0,299.6,298.95,-0.65,0.1985,0.1982
0.901,6750.0,330.2,331.27,1.07,0.1916,0.192
0.901,6845.0,357.4,359.24,1.84,0.1864,0.1871
0.901,6940.0,552.8,558.35,5.55,0.18,0.1822
0.901,7050.0,482.0,489.9,7.9,0.1735,0.1765
0.901,7150.0,422.7,430.8,8.1,0.1683,0.1714
0.901,7260.0,368.75,369.54,0.79,0.1654,0.1657
0.901,7355.0,310.6,320.09,9.49,0.1572,0.1609
0.901,7500.0,243.05,251.4,8.35,0.1504,0.1537
0.901,7670.0,177.4,182.48,5.08,0.1435,0.1457
0.901,7880.0,115.15,116.46,1.31,0.1366,0.1372
0.901,8105.0,70.25,69.59,-0.66,0.1316,0.1312
0.942,5275.0,99.15,106.34,7.19,0.2721,0.278
0.942,5675.0,138.85,140.65,1.8,0.2496,0.2508
0.942,6100.0,197.6,197.53,-0.07,0.2264,0.2263
0.942,6525.0,279.8,281.77,1.97,0.2033,0.2042
0.942,6950.0,564.4,569.39,4.99,0.1808,0.1828
0.942,7375.0,317.9,327.33,9.43,0.1581,0.1617
0.942,7800.0,148.5,152.87,4.37,0.1405,0.1424
1.038,5350.0,115.55,123.28,7.73,0.2645,0.2701
1.038,6000.0,196.75,197.93,1.18,0.2308,0.2314
1.038,6600.0,315.3,319.63,4.33,0.1999,0.2016
1.038,7100.0,506.6,517.75,11.15,0.1741,0.1781
1.038,7750.0,191.85,203.52,11.67,0.1446,0.1492
1.114,5500.0,140.95,146.29,5.34,0.2555,0.2589
1.114,5925.0,197.15,198.82,1.67,0.2342,0.235
1.114,6350.0,273.9,275.7,1.8,0.2133,0.2141
1.114,6775.0,377.1,383.54,6.44,0.1922,0.1946
1.114,7200.0,476.1,490.54,14.44,0.1708,0.1758
1.114,7625.0,263.8,280.43,16.63,0.1516,0.1576
1.114,8600.0,43.25,50.52,7.27,0.1298,0.1353
